ESU_DPS,COMMON_POPULATION_NAME,OBJECTID_POPTable,WCR_POP_ID,TRT_POP_ID,NWFSC_POP_ID,POPULATION,TYPE,STATUS,RUN_TIMING,MIDLEVEL_GROUP,OBJECTID_DPSTable,Common species,DPS_ID,FRN,LISTING_DESCRIPTION,LISTING_STATUS,SPECIES,TRT
"Salmon, Chinook (Lower Columbia River ESU)",Cispus River - spring Chinook salmon,2,CKLCRspCSP,,3,Cispus River,Independent,Extant,spring,Cascade spring,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Coweeman River - fall Chinook salmon,5,CKLCRfaCOW,,6,Coweeman River,Independent,Extant,fall,Cascade fall,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Elochoman River - fall Chinook salmon,6,CKLCRfaELO,,7,Elochoman River,Independent,Extant,fall,Coast fall,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Grays and Chinook Rivers - fall Chinook salmon,7,CKLCRfaGRC,,8,Grays and Chinook Rivers,Independent,Extant,fall,Coast fall,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Kalama River - fall Chinook salmon,10,CKLCRfaKAL,,11,Kalama River,Independent,Extant,fall,Cascade fall,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Kalama River - spring Chinook salmon,11,CKLCRspKAL,,12,Kalama River,Independent,Extant,spring,Cascade spring,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Lewis River - fall Chinook salmon,12,CKLCRfaLEW,,14,Lewis River,Independent,Extant,fall,Cascade fall,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Lewis River - late fall Chinook salmon,13,CKLCRlfLEW,,13,Lewis River,Independent,Extant,late fall,Cascade late fall,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Lower Cowlitz River - fall Chinook salmon,14,CKLCRfaLCZ,,15,Lower Cowlitz River,Independent,Extant,fall,Cascade fall,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
"Salmon, Chinook (Lower Columbia River ESU)",Lower Gorge Tributaries - fall Chinook salmon,15,CKLCRfaLGT,,16,Lower Gorge Tributaries,Independent,Extant,fall,Gorge fall,4,Chinook salmon,CKLCR,"79 FR 20802, Apr 14, 2014","Naturally spawned Chinook salmon originating from the Columbia River and its tributaries downstream of a transitional point east of the Hood and White Salmon Rivers, and any such fish originating from the Willamette River and its tributaries below Willamette Falls. Not included in this DPS are: (1) spring-run Chinook salmon originating from the Clackamas River; (2) fall-run Chinook salmon originating from Upper Columbia River bright hatchery stocks, that spawn in the mainstem Columbia River below Bonneville Dam, and in other tributaries upstream from the Sandy River to the Hood and White Salmon Rivers; (3) spring-run Chinook salmon originating from the Round Butte Hatchery (Deschutes River, Oregon) and spawning in the Hood River; (4) spring-run Chinook salmon originating from the Carson National Fish Hatchery and spawning in the Wind River; and (5) naturally spawning Chinook salmon originating from the Rogue River Fall Chinook Program. This DPS does include Chinook salmon from 15 artificial propagation programs: the Big Creek Tule Chinook Program; Astoria High School Salmon-Trout Enhancement Program (STEP) Tule Chinook Program; Warrenton High School STEP Tule Chinook Program; Cowlitz Tule Chinook Program; North Fork Toutle Tule Chinook Program; Kalama Tule Chinook Program; Washougal River Tule Chinook Program; Spring Creek National Fish Hatchery (NFH) Tule Chinook Program; Cowlitz Spring Chinook Program in the Upper Cowlitz River and the Cispus River; Friends of the Cowlitz Spring Chinook Program; Kalama River Spring Chinook Program; Lewis River Spring Chinook Program; Fish First Spring Chinook Program; and the Sandy River Hatchery (Oregon Department of Fish and Wildlife Stock #11).",Threatened,Oncorhynchus tshawytscha,Willamette-Lower Columbia Technical Recovery Team
