ESU_DPS_COMMONNAME,ESU_DPS,ESA listing year,USECA,Notes
Hood Canal summer chum,"Salmon, chum (Hood Canal summer-run ESU)",1999,,not in CA
Lower Columbia chum,"Salmon, chum (Columbia River ESU)",1999,"Salmon, chum (Columbia River ESU)",
Lower Columbia coho,"Salmon, coho (Lower Columbia River ESU)",2005,"Salmon, coho (Lower Columbia River ESU)",
Lower Columbia Chinook,"Salmon, Chinook (Lower Columbia River ESU)",1999,"Salmon, Chinook (Lower Columbia River ESU)",inconsistent data until 2010 so started analysis then
Lower Columbia steelhead,Steelhead (Lower Columbia River DPS),1998,Steelhead (Lower Columbia River DPS),
Mid-Columbia steelhead,Steelhead (Middle Columbia River DPS),1999,Steelhead (Middle Columbia River DPS),
Ozette Lake sockeye,"Salmon, sockeye (Ozette Lake ESU)",1999,,not in CA
Puget Sound Chinook,"Salmon, Chinook (Puget Sound ESU)",1999,"Salmon, Chinook (Puget Sound ESU)",
Puget Sound steelhead,Steelhead (Puget Sound DPS),2007,Steelhead (Puget Sound DPS),
Snake River fall Chinook,"Salmon, Chinook (Snake River fall-run ESU)",1992,,not in CA
Snake River spring and summer Chinook,"Salmon, Chinook (Snake River spring/summer-run ESU)",1992,"Salmon, Chinook (Snake River spring/summer-run ESU)",limited data for Asotin so only 1 pop with data
Snake River steelhead,Steelhead (Snake River Basin DPS),1997,Steelhead (Snake River Basin DPS),limited data for Tucannon so only 1 pop with data
Upper Columbia spring Chinook,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1999,"Salmon, Chinook (Upper Columbia River spring-run ESU)",
Upper Columbia steelhead,Steelhead (Upper Columbia River DPS),1997,Steelhead (Upper Columbia River DPS),
