ESU_DPS,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,POPFIT,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,1999,2649,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2000,5064,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2001,4315,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2002,3421,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2003,5075,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2004,1997,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2005,1908,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2006,2135,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2007,786,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2008,2389,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2009,4988,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2010,3220,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2011,2625,1,-99,-99,-99,-99,-99,-99,-99,-99
