ESU_DPS,COMMON_POPULATION_NAME,Recovery goal,High productivity recovery goal,Notes
"Salmon, Chinook (Lower Columbia River ESU)",Cispus River - spring Chinook salmon,NA,,"Cispus goal 1800, upper Cowlitz 1800, reported as combined goal for Upper Cowlitz"
"Salmon, Chinook (Lower Columbia River ESU)",Coweeman River - fall Chinook salmon,900,,
"Salmon, Chinook (Lower Columbia River ESU)",Elochoman River - fall Chinook salmon,1500,,
"Salmon, Chinook (Lower Columbia River ESU)",Grays and Chinook Rivers - fall Chinook salmon,1000,,
"Salmon, Chinook (Lower Columbia River ESU)",Kalama River - fall Chinook salmon,500,,
"Salmon, Chinook (Lower Columbia River ESU)",Kalama River - spring Chinook salmon,300,,
"Salmon, Chinook (Lower Columbia River ESU)",Lewis River - fall Chinook salmon,1500,,
"Salmon, Chinook (Lower Columbia River ESU)",Lewis River - late fall Chinook salmon,7300,,
"Salmon, Chinook (Lower Columbia River ESU)",Lower Cowlitz River - fall Chinook salmon,3000,,
"Salmon, Chinook (Lower Columbia River ESU)",Lower Gorge Tributaries - fall Chinook salmon,2000,,
"Salmon, Chinook (Lower Columbia River ESU)","Mill, Abernathy, and Germany Creeks - fall Chinook salmon",1800,,
"Salmon, Chinook (Lower Columbia River ESU)",North Fork Lewis River - spring Chinook salmon,1500,,
"Salmon, Chinook (Lower Columbia River ESU)",Salmon Creek - fall Chinook salmon,NA,,
"Salmon, Chinook (Lower Columbia River ESU)",Tilton River - spring Chinook salmon,100,,
"Salmon, Chinook (Lower Columbia River ESU)",Toutle River - fall Chinook salmon,4000,,
"Salmon, Chinook (Lower Columbia River ESU)",Toutle River - spring Chinook salmon,1100,,
"Salmon, Chinook (Lower Columbia River ESU)",Upper Cowlitz River - fall Chinook salmon,NA,,
"Salmon, Chinook (Lower Columbia River ESU)",Upper Cowlitz River - spring Chinook salmon,3600,,"Cispus goal 1800, upper Cowlitz 1800, reported as combined goal for Upper Cowlitz"
"Salmon, Chinook (Lower Columbia River ESU)",Upper Gorge Tributaries - fall Chinook salmon,600,,goal is 1200; assumed WA portion is 600
"Salmon, Chinook (Lower Columbia River ESU)",Washougal River - fall Chinook salmon,1500,,
"Salmon, Chinook (Lower Columbia River ESU)",White Salmon River - fall Chinook salmon,500,,
"Salmon, Chinook (Lower Columbia River ESU)",White Salmon River - spring Chinook salmon,500,,
"Salmon, Chinook (Puget Sound ESU)",Cascade River - spring Chinook salmon,1200,290,
"Salmon, Chinook (Puget Sound ESU)",Cedar River - fall Chinook salmon,8200,2000,
"Salmon, Chinook (Puget Sound ESU)",Dungeness River - summer Chinook salmon,4700,1200,
"Salmon, Chinook (Puget Sound ESU)",Elwha River - fall Chinook salmon,17000,6900,
"Salmon, Chinook (Puget Sound ESU)",Green River - fall Chinook salmon,27000,27000,
"Salmon, Chinook (Puget Sound ESU)",Lower Sauk River - summer Chinook salmon,5600,1400,
"Salmon, Chinook (Puget Sound ESU)",Lower Skagit River - fall Chinook salmon,16000,3900,
"Salmon, Chinook (Puget Sound ESU)",Mid-Hood Canal - fall Chinook salmon,5200,1300,
"Salmon, Chinook (Puget Sound ESU)",Nisqually River - fall Chinook salmon,13000,3400,
"Salmon, Chinook (Puget Sound ESU)",North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,16000,3800,
"Salmon, Chinook (Puget Sound ESU)",North Fork Stillaguamish River - summer Chinook salmon,18000,4000,
"Salmon, Chinook (Puget Sound ESU)",Puyallup River - fall Chinook salmon,18000,5300,
"Salmon, Chinook (Puget Sound ESU)",Sammamish River - fall Chinook salmon,4000,1000,
"Salmon, Chinook (Puget Sound ESU)",Skokomish River - fall Chinook salmon,9100,2000,
"Salmon, Chinook (Puget Sound ESU)",Skykomish River - summer Chinook salmon,39000,8700,
"Salmon, Chinook (Puget Sound ESU)",Snoqualmie River - fall Chinook salmon,25000,5500,
"Salmon, Chinook (Puget Sound ESU)",South Fork Nooksack River - spring Chinook salmon,9100,2000,
"Salmon, Chinook (Puget Sound ESU)",South Fork Stillaguamish River - fall Chinook salmon,15000,3600,
"Salmon, Chinook (Puget Sound ESU)",Suiattle River - spring Chinook salmon,610,160,
"Salmon, Chinook (Puget Sound ESU)",Upper Sauk River - spring Chinook salmon,3030,750,
"Salmon, Chinook (Puget Sound ESU)",Upper Skagit River - summer Chinook salmon,26000,5380,
"Salmon, Chinook (Puget Sound ESU)",White River - spring Chinook salmon,NA,,No goal identified yet
"Salmon, Chinook (Snake River fall-run ESU)",Snake River - fall Chinook salmon,14360,7500,"goals are ""interim"" and ""long term"" for natural origin component of population; hatchery origin goal of 15484"
"Salmon, Chinook (Snake River spring/summer-run ESU)",Tucannon River - spring Chinook salmon,750,,
"Salmon, Chinook (Snake River spring/summer-run ESU)",Asotin Creek - spring Chinook salmon,500,,
"Salmon, Chinook (Upper Columbia River spring-run ESU)",Entiat River - spring Chinook salmon,500,,
"Salmon, Chinook (Upper Columbia River spring-run ESU)",Methow River - spring Chinook salmon,2000,,
"Salmon, Chinook (Upper Columbia River spring-run ESU)",Wenatchee River - spring Chinook salmon,2000,,
"Salmon, chum (Columbia River ESU)",Cowlitz River - fall Chum salmon,900,,
"Salmon, chum (Columbia River ESU)",Cowlitz River - summer Chum salmon,900,,
"Salmon, chum (Columbia River ESU)",Elochoman River - fall Chum salmon,1300,,
"Salmon, chum (Columbia River ESU)",Grays and Chinook Rivers - fall Chum salmon,1600,,
"Salmon, chum (Columbia River ESU)",Kalama River - fall Chum salmon,900,,
"Salmon, chum (Columbia River ESU)",Lewis River - fall Chum salmon,1300,,
"Salmon, chum (Columbia River ESU)",Lower Gorge Tributaries - fall Chum salmon,1200,,
"Salmon, chum (Columbia River ESU)","Mill, Abernathy, and Germany Creeks - fall Chum salmon",1300,,
"Salmon, chum (Columbia River ESU)",Salmon Creek - fall Chum salmon,NA,,
"Salmon, chum (Columbia River ESU)",Upper Gorge Tributaries - fall Chum salmon,900,,
"Salmon, chum (Columbia River ESU)",Washougal River - fall Chum salmon,1200,18600,
