Stock Number,Population Name,Species,Year,Recovery Goal,Goal Type,Goal Type Description,Comments,Last Updated
1592,Kalama Spring Chinook,Chinook,2010,300,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
3790,Lower Gorge (Columbia) Coho,Coho,2010,1900,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
6884,Joseph Creek Summer Steelhead,Steelhead,2011,500,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
6882,Lower Grande Ronde Summer Steelhead,Steelhead,2011,1000,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
1496,Grays/Chinook Fall (Tule) Chinook,Chinook,2010,1000,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1508,Elochoman/Skamokawa Fall (Tule) Chinook,Chinook,2010,1500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1704,Tucannon Spring Chinook,Chinook,2011,750,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
6861,Touchet Summer Steelhead,Steelhead,,1000,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
6868,Tucannon Summer Steelhead,Steelhead,2011,1000,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
6854,Walla Walla Summer Steelhead,Steelhead,,1000,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
6875,Asotin Creek Summer Steelhead,Steelhead,2011,500,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
1715,Wenaha Spring Chinook,Chinook,2011,750,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
1525,Mill/Abernathy/Germany Creeks Fall (Tule) Chinook,Chinook,2010,900,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
