Stock Number,Population Name,Species,ESU/DPS Name,Federal Status,Listing Date,Salmon Recovery Region,Recovery Plan,Recovery Plan Year,Hatchery Standards Met,Major Population Grouping,Population Goals,Goal References,Goal Notes,Population History,Stock Definition,Stock Data Description,Stock Spawning Distribution,Stock Genetic Analysis Description,Local Biologist Name,Local Biologist Email,Last Updated
1008,North Fork Nooksack Chinook (including Middle Fork Nooksack River),Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Nooksack Basin Chinook,"EG = 2,000; (Upper mgmt threshold = 2,000 spawners; Low abundance threshold = 1,000 spawners.)  Critical ER ceiling = 9% SUS",Ref 2,RER being developed,This is a native stock with composite production. A supplementation program designed to increase numbers of North Fork Nooksack Chinook has been underway at Kendall Creek Hatchery since 1980.,"North Fork Nooksack Chinook were identified as a stock based on their distinct spawning distribution, early river entry timing and spawning timing, and by differences in genetic composition. The TRT used geography and environmental information as rationale for including the middle fork in the north fork population for recovery efforts.","Data are total escapement estimates based on carcass and redd counts in the North Fork and Middle Fork drainages. A stock re-building program using native broodstock was started at Kendall Creek Hatchery in 1980. Escapements have increased as a result, but the natural-origin spawners are still doing poorly.","Most spawning takes place in the North Fork Nooksack River from Mosquito Lake Road (RM 44.8) up to RM 63.9. Approximately 88% of recent spawners have been returns from the Kendall Creek Hatchery rebuilding program (including off-station releases at acclimation sites). Carcass recoveries (and spawning locations) correlate with release locations, so upper basin releases are influencing the primary spawning locations. Spawning also occurs in the lower North Fork. Various tributaries are also used, including Canyon, Racehorse, Boulder, Maple, Cornell, Deadhorse, Thompson and Boyd creeks. Spawning also occurs in the Middle Fork Nooksack, including Canyon Lake Creek. Fish released from the Kendall Creek Hatchery program are known to stray into the South Fork Nooksack.",Allozyme analysis of North Fork Fork Nooksack Chinook showed them to be genetically distinct from the South Fork Nooksack Chinook and from all other Washington Chinook stocks examined (Marshall et al. 1995).,Julie Klacan,Julie.Klacan@dfw.wa.gov,1/30/2018 0:00
1016,South Fork Nooksack Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Nooksack Basin Chinook,"EG = 2,000; (Upper mgmt threshold = 2,000 spawners; Low abundance threshold = 1,000 spawners.)  ",Ref 2,RER being developed,This is a native stock with wild production. A relatively small supplementation program existed at Skookum Creek in the 1980s and early 1990s but was discontinued because of adult mortality and broodstock collection problems. The recent discovery that the majority of Chinook outmigrants in the South Fork in 2000 were fall Chinook is a matter of concern (see Genetic Analysis section above).,"South Fork Nooksack Chinook were identified as a stock based on their distinct spawning distribution, early river entry and spawning timing, and genetic composition.","Data are total escapement estimates based on counts of redds and spawners in the mainstem South Fork and tributaries through September 30 each year, excluding the proportion of redds that carcass recoveries indicated were from known hatchery strays.","Most spawning takes place in the mainstem South Fork Nooksack River up to RM 25 but up to RM 30.4 in some years. Tributary spawning occurs in Hutchinson, Skookum, Deer and Plumbago creeks.",Allozyme analysis has shown that South Fork Nooksack Chinook are genetically distinct from the North Fork/Middle Fork Nooksack Chinook stock and from all other Washington Chinook stocks examined (Marshall et al. 1995). More recent microsatellite DNA analysis of Chinook outmigrants sampled in the South Fork Nooksack in 2000 showed that the majority were fall Chinook and most closely resembled the fall Chinook stock (Green River (Duwamish) origin) that was being released from the WDFW Kendall Creek Hatchery (North Fork Nooksack basin) at the time (Shaklee and Young 2002).,Julie Klacan,Julie.Klacan@dfw.wa.gov,9/8/2016 0:00
1032,Upper Skagit Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Skagit Basin Chinook,"Upper mgmt threshold = 8,434; Low abundance threshold = 2,200.  For all Skagit S/F Chinook stocks combined: Rebuilding ER = 50% (total).  Critical ER ceiling = 15% SUS even yrs, 17% SUS odd yrs.",Ref 2,"Low abundance threshold and Critical ER Ceiling is for all Skagit S/F Chinook combined.  Upper mgmt threshold for all Skagit S/F Chinook = 14,500.",This is a native stock with wild production.,Upper Skagit Chinook were identified as a stock based on their distinct spawning distribution and early spawning timing.,"Data are total escapement estimates based on redd counts from the mouth of the Sauk River to Newhalem, the lower Cascade River (RM 0.0 to 6.5); and in Illabot, Diobsud, Bacon, Falls, and Goodell creeks.","Spawning takes place in the mainstem Skagit River and tributaries from the Sauk River upstream to Newhalem, excluding the upper Cascade River.","Allozyme analysis has shown that Upper Skagit Chinook are not significantly different from Lower Skagit fall Chinook stock or from Upper Sauk spring Chinook.  They are, however, different from Skagit River hatchery stocks (Marshall et al. 1995).",Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
1040,Lower Skagit Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Skagit Basin Chinook,"Upper mgmt threshold = 4,140.  Low abundance threshold = 900.  For all Skagit S/F Chinook stocks combined: Rebuilding ER = 50% (total), Critical ER ceiling = 15% SUS even yrs, 17% SUS odd yrs",Ref 2,"Low abundance threshold for all Skagit S/F Chinook combined.  Critical ER ceiliing is for all Skagit S/F Chinook combined.  Upper mgmt threshold for all Skagit S/F Chinook = 14,500",This is a native stock with wild production.,"Lower Skagit Mainstem/Tribs Chinook were identified as a stock based on their distinct spawning distribution, spawning timing and genetic composition.",Data are total escapement estimates based on redd counts from the mainstem Skagit between the town of Sedro Woolley and the mouth of the Sauk River and in Finney and Day creeks.,Spawning takes place in the mainstem Skagit River and tributaries downstream from the Sauk River. The majority of fish spawn between Sedro Woolley and the Sauk River.,"Allozyme analysis shows that this stock is not significantly different from Upper Skagit Mainstem/Tribs Chinook stock. The two stocks are, however, different from the other Skagit wild Chinook stocks and hatchery stocks (Marshall et al. 1995).",Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
1048,Lower Sauk Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Skagit Basin Chinook,"Upper mgmt threshold = 1,926.  Low abundance threshold = 400.  For all Skagit S/F Chinook stocks combined: Rebuilding ER = 50% (total),  Critical ER ceiling = 15% SUS even yrs, 17% SUS odd yrs.",Ref 2,"Low abundance threshold for all Skagit S/F Chinook combined.  Critical ER ceiling is for all Skagit S/F Chinook combined.  Upper mgmt threshold for all Skagit S/F Chinook = 14,500.",This is a native stock with wild production.,"Lower Sauk Chinook were identified as a stock based on their distinct spawning distribution, spawning timing and genetic composition.",Data are total escapement estimates based on redd counts from the mouth of the Sauk River upstream to the town of Darrington (RM 0.0 to 21.1).,Spawning takes place in the Sauk River from the mouth upstream to the Darrington Bridge (RM 21.2).,Allozyme analysis has shown that Lower Sauk Chinook are genetically distinct from all other Washington Chinook stocks examined (Marshall et al. 1995).,Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
1056,Upper Sauk Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Skagit Basin Chinook,"Upper mgmt threshold = 986.  Low abundance threshold = 130.  For all Skagit spring Chinook populations combined: EG = 3,000, Rebuilding ER = 38% (total), Critical ER ceiling = 18% SUS.",Ref 2,"Low abundance threshold for all Skagit spring Chinook combined.  Critical ER ceiling is for all Skagit spring Chinook combined.  Upper mgmt threshold for all Skagit spring Chinook combined=2,000.",This is a native stock with wild production.,"Upper Sauk Chinook were identified as a stock based on their distinct spawning distribution, spawning timing and genetic composition.","Data are total escapement estimates based on redd counts in the mainstem Skagit River from the town of Darrington up to the forks (RM 21.2 to 39.7), in the North Fork Sauk from the mouth upstream to the falls and in the South Fork Sauk from the mouth to about RM 2.5. A new escapement methodology was developed beginning in 1994. Expanded cumulative redd counts are thought to represent the total spawner population better than peak live plus dead counts which were used prior to 1994 (Pete Castle, WDFW, personal communication). The new estimates are not comparable to the estimates in the 1992 SASSI.","Spawning takes place in the Sauk River, primarily from Darrington up to the forks and in the lower reaches of the North and South forks.","Allozyme analysis has shown that Upper Sauk Chinook are not genetically distinct from Upper Skagit Mainstem/Tribs.  Upper Sauk Chinook are, however, different from all other Washington Chinook stocks examined (Marshall et al. 1995).",Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
6511,Quinault Summer Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,,,This is a native stock with wild production.,Quinault summer steelhead were identified as a stock based on their distinct spawning distribution.,,Specific spawning locations within the Quinault system are unknown.,Genetic analysis has not been done on Quinault summer steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,10/6/2016 0:00
6476,Queets Summer Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,,,This is a native stock with wild production.,Queets spring/summer steelhead were identified as a stock based on their distinct spawning distribution.,,Spawning locations within the Queets system are unknown.,Genetic analysis has not been done on Queets summer steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,7/14/2020 0:00
1064,Suiattle Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Skagit Basin Chinook,"Upper mgmt threshold = 574.  Low abundance threshold = 170.  For all Skagit spring Chinook: EG = 3,000, Rebuilding ER = 38% (total), Critical ER ceiling = 18% SUS.",Ref 2,"Low abundance threshold for all Skagit spring Chinook combined.  Critical ER ceiling is for all Skagit spring Chinook combined.  Upper mgmt threshold for all Skagit spring Chinook combined=2,000.",This is a native stock with wild production.,"Suiattle Chinook were identified as a stock based on their distinct spawning distribution, spawning timing and genetic composition.","Data are total escapement estimates based on redd counts in Big, Tenas, Straight, Circle, Buck, Lime, Downey, Sulphur, Milk creeks. A new escapement methodology was applied beginning in 1994. Expanded cumulative redd counts are thought to represent the total spawner population better than peak live plus dead counts which were used prior to 1994 (Pete Castle, WDFW, personal communication). New estimates are not comparable to the estimates in the 1992 SASSI.","Most spawning takes place in tributaries such as Big, Tenas, Straight, Circle, Buck, Lime, Downey, Sulphur and Milk creeks. Some spawning also occurs in the mainstem Suiattle River.",Genetic analysis of samples over a period of six years has shown that Suiattle Chinook is genetically distinct from all other Washington Chinook stocks examined (Marshall et al. 1995).,Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
1072,Cascade Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Skagit Basin Chinook,"Upper mgmt threshold = 440.  Low abundance threshold = 170.  For all Skagit spring Chinook: EG = 3,000, Rebuilding ER = 38% (total), Critical ER ceiling = 18% SUS.",Ref 2,"Low abundance threshold for all Skagit spring Chinook combined.  Critical ER ceiling is for all Skagit spring Chinook combined.  Upper mgmt threshold for all Skagit spring Chinook combined=2,000.",This is a native stock with wild production.,Cascade Chinook were identified as a stock based on their distinct spawning distribution and spawning timing.,"Data are total escapement estimates based on redd counts in the mainstem Cascade River above RM 7.8; in the lower reaches of the North and South forks of the Cascade; and in Marble, Found, Kindy, and Sonny Boy creeks. A new escapement methodology was applied beginning in 1992. Expanded cumulative redd counts are thought to represent the total spawner population better than peak live plus dead counts which were used prior to 1992 (Pete Castle, WDFW, personal communication). New estimates are not comparable to the estimates in the 1992 SASSI.","Most spawning takes place in the Cascade River from RM 7.8 to at least RM 19.2, in the North Fork Cascade River (RM 0.0 to 0.2) and in Marble, Found, and Kindy creeks.",Allozyme analysis of Cascade Chinook has shown them to be genetically distinct from all other Washington Chinook stocks examined (Marshall et al. 1995). In this analysis Cascade Chinook were more similar to other wild Skagit-basin Chinook stocks than they were to other early-timed Puget Sound Chinook stocks such as those in the Nooksack basin and the White River (Puyallup). They were also significantly different from the spring Chinook stock maintained at the WDFW Marblemount Hatchery in the Cascade River basin.,Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
