SASI_STOCK_NUM,SASISTOCKNAME,COMMONNAME,RUN,RECOVERYDOMAIN,MAJORPOPGROUP,POPID,ESAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,ESTIMATETYPE,WATERBODY,SPAWNINGYEAR,METHODNUMBER,BESTVALUE,NOSAIJ,NOSAIJ_SDSID,NOSAIJLOWERLIMIT,NOSAIJUPPERLIMIT,NOSAIJALPHA,NOSAEJ,NOSAEJ_SDSID,NOSAEJLOWERLIMIT,NOSAEJUPPERLIMIT,NOSAEJALPHA,PHOSIJ,PHOSIJLOWERLIMIT,PHOSIJUPPERLIMIT,PHOSIJALPHA,PHOSEJ,PHOSEJLOWERLIMIT,PHOSEJUPPERLIMIT,PHOSEJALPHA,TSAIJ,TSAIJ_SDSID,TSAIJLOWERLIMIT,TSAIJUPPERLIMIT,TSAIJALPHA,TSAEJ,TSAEJ_SDSID,TSAEJLOWERLIMIT,TSAEJUPPERLIMIT,TSAEJALPHA,AGE2PROP,AGE2PROPLOWERLIMIT,AGE2PROPUPPERLIMIT,AGE3PROP,AGE3PROPLOWERLIMIT,AGE3PROPUPPERLIMIT,AGE4PROP,AGE4PROPLOWERLIMIT,AGE4PROPUPPERLIMIT,AGE5PROP,AGE5PROPLOWERLIMIT,AGE5PROPUPPERLIMIT,AGE6PROP,AGE6PROPLOWERLIMIT,AGE6PROPUPPERLIMIT,AGE7PROP,AGE7PROPLOWERLIMIT,AGE7PROPUPPERLIMIT,AGE8PROP,AGE8PROPLOWERLIMIT,AGE8PROPUPPERLIMIT,AGE9PROP,AGE9PROPLOWERLIMIT,AGE9PROPUPPERLIMIT,AGE10PROP,AGE10PROPLOWERLIMIT,AGE10PROPUPPERLIMIT,AGE11PLUSPROP,AGE11PLUSPROPLOWERLIMIT,AGE11PLUSPROPUPPERLIMIT,AGEPROPALPHA,OTHERDATASOURCES,COMMENTS,DATASTATUS,STOCK_ID,COMMONPOPNAME2,ESU_DPS
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2000,,Yes,27093,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27093,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2001,,Yes,94579,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94579,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2002,,Yes,69296,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69296,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2003,,Yes,172345,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172345,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2004,,Yes,146872,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146872,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2005,,Yes,38066,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38066,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2006,,Yes,13574,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13574,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2007,,Yes,46640,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46640,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2008,,Yes,11696,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11696,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2009,,Yes,27580,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27580,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
