"ESU_DPS","COMMONPOPNAME2","SPAWNINGYEAR","ESU_DPS_COMMONNAME","COMMONNAME","RUN","MAJORPOPGROUP","WATERBODY","final_abundance","datasource","final_abundance_data_type","METHODNUMBER","CONTACTAGENCY","SUBMITAGENCY","LASTUPDATED","ID","PROTMETHNAME"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2010,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",413,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","1ADF61CF-F01B-D40F-4417-A81C36874441","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2011,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",622,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","1AE37008-D3FB-E239-24F1-E7A0025385CC","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2012,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",463,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","1AE84ED4-9903-1983-DEEC-6916E0C7F3E5","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2013,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",1568,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","1AEFC8BE-C75B-D6BE-6D3F-8868C0EE6AB7","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2014,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",794,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","1AEC214C-9182-EFE2-27CE-44FEB54E2C1D","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2015,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",1359,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","67194BFB-F202-A0A9-1FEA-13E5CA94A14F","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2016,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",411,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","272F3640-5056-8E43-3540-6509D664459E","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2017,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",721,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","27351149-5056-8E43-3505-786B353A692D","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2018,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Coweeman River",216,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/21 02:58:06","4D1069F7-9DD2-4FF9-9B05-C8B981287D00",NA
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2010,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",136,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AE0DC18-0BE2-88B7-56E8-BAC10170C252","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2011,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",63,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AD6CD85-0EFF-6944-9ED7-3A7AF6CBA995","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2012,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",62,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AE827BC-DAB6-9932-BF2F-9071C3011761","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2013,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",80,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AE9D40B-02F5-4742-61C8-A6319BF5473D","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2014,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",147,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AED32EC-E238-DF1E-5951-130DA857F629","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2015,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",230,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","03D4C961-AF95-35D7-3F36-63A0E103DD48","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2016,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",91,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","276E3F06-5056-8E43-35F0-A69492D10246","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2017,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",77,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","2773B701-5056-8E43-3552-32738592F34F","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2018,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Elochoman River",27,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/23 08:49:34","4265916E-3382-4848-9658-9D4C9D06CF7A",NA
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2008,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",33,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2015/02/18 12:00:00","1AA19B53-FA9E-0490-17F1-D47C125CAB54",NA
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2009,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",210,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2015/02/18 12:00:00","1AD5C14B-E36A-08C5-105B-E0FA4D61791F",NA
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2010,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",83,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AE08E09-CD1C-2345-00CE-F93253F552D6","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2011,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",62,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AE4D08E-F15D-C24B-263E-3AB38D92FE5D","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2012,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",35,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AD21853-F745-49C3-98FD-B89BDA197546","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2013,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",91,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AD26646-E10B-687C-B605-00F4BC99AC13","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2014,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",185,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","1AED594A-B22F-101B-96C3-25818EBF7606","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2015,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",219,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","01FFCC52-9FD6-C9E4-9F73-117F610B2134","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2016,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",80,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","277A6A0F-5056-8E43-35C1-EBAB1B526475","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2017,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",295,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/09/06 12:00:00","27803DC5-5056-8E43-35EF-B96182712D06","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon",2018,"Lower Columbia Chinook","Chinook salmon","Fall","Coast fall","Grays River",515,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/21 02:58:06","8922FB31-EF69-4A15-9331-52E2896A472E",NA
