"COMMONPOPNAME2","minYR","maxYR","Geomean_5yr","Recovery.goal","Geomean_5yr_prop_goal","abovegoal","Percent.change.per.year","ESU_DPS2"
"Cispus River - spring Chinook salmon",NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook ESU"
"Coweeman River - fall Chinook salmon",2015,2019,467.224068073671,900,0.51913785341519,0,-5.62765769176034,"Lower Columbia River Chinook ESU"
"Elochoman River - fall Chinook salmon",2015,2019,66.4384081994731,1500,0.0442922721329821,0,-6.48273590197387,"Lower Columbia River Chinook ESU"
"Grays and Chinook Rivers - fall Chinook salmon",2015,2019,241.45918350071,1000,0.24145918350071,0,-3.84420179884513,"Lower Columbia River Chinook ESU"
"Kalama River - fall Chinook salmon",2015,2019,1890.75715834894,500,3.78151431669789,1,-3.34949236568736,"Lower Columbia River Chinook ESU"
"Kalama River - spring Chinook salmon",2015,2019,45.1307047578265,300,0.150435682526088,0,-4.82482090148457,"Lower Columbia River Chinook ESU"
"Lewis River - fall Chinook salmon",2015,2019,1980.27531351631,1500,1.32018354234421,1,-4.94872242331766,"Lower Columbia River Chinook ESU"
"Lewis River - late fall Chinook salmon",2015,2019,7776.6293646007,7300,1.06529169378092,1,-5.72895610630607,"Lower Columbia River Chinook ESU"
"Lower Cowlitz River - fall Chinook salmon",2015,2019,3100.59204765692,3000,1.03353068255231,1,-5.03985557189556,"Lower Columbia River Chinook ESU"
"Lower Gorge Tributaries - fall Chinook salmon",NA,NA,NA,2000,NA,NA,NA,"Lower Columbia River Chinook ESU"
"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2015,2019,22.9566646955079,1800,0.0127537026086155,0,-7.2230510593846,"Lower Columbia River Chinook ESU"
"North Fork Lewis River - spring Chinook salmon",NA,NA,NA,1500,NA,NA,NA,"Lower Columbia River Chinook ESU"
"Salmon Creek - fall Chinook salmon",NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook ESU"
"Tilton River - spring Chinook salmon",NA,NA,NA,100,NA,NA,NA,"Lower Columbia River Chinook ESU"
"Toutle River - fall Chinook salmon",2015,2019,244.136216150151,4000,0.0610340540375379,0,-5.13686952945086,"Lower Columbia River Chinook ESU"
"Toutle River - spring Chinook salmon",NA,NA,NA,1100,NA,NA,NA,"Lower Columbia River Chinook ESU"
"Upper Cowlitz River - fall Chinook salmon",2015,2019,1462.03040251207,NA,NA,NA,-6.24861505720684,"Lower Columbia River Chinook ESU"
"Upper Cowlitz River - spring Chinook salmon",2015,2019,137.803065100992,3600,0.0382786291947201,0,-6.49185955908929,"Lower Columbia River Chinook ESU"
"Upper Gorge Tributaries - fall Chinook salmon",2015,2019,452.476686476246,600,0.754127810793742,0,-5.87042352971638,"Lower Columbia River Chinook ESU"
"Washougal River - fall Chinook salmon",2015,2019,877.677192552538,1500,0.585118128368359,0,-4.67373939117971,"Lower Columbia River Chinook ESU"
"White Salmon River - fall Chinook salmon",2015,2019,251.914558850509,500,0.503829117701019,0,-7.4672081975122,"Lower Columbia River Chinook ESU"
"White Salmon River - spring Chinook salmon",2015,2019,8.07306093662087,500,0.0161461218732417,0,-6.56877631082508,"Lower Columbia River Chinook ESU"
"Cascade River - spring Chinook salmon",2015,2019,235.963360621265,1200,0.196636133851054,0,0.509441010182643,"Puget Sound Chinook ESU"
"Cedar River - fall Chinook salmon",2015,2019,805.243991729456,8200,0.0982004867962751,0,0.579066818846274,"Puget Sound Chinook ESU"
"Dungeness River - summer Chinook salmon",2015,2019,110.930697638321,4700,0.0236022760932598,0,0.869006669142647,"Puget Sound Chinook ESU"
"Elwha River - fall Chinook salmon",2015,2019,106.198143263571,17000,0.00624694960373948,0,1.26592345103471,"Puget Sound Chinook ESU"
"Green River - fall Chinook salmon",2015,2019,1442.11124047721,27000,0.053411527425082,0,0.624406981926762,"Puget Sound Chinook ESU"
"Lower Sauk River - summer Chinook salmon",2015,2019,569.509324289112,5600,0.101698093623056,0,0.297433221796828,"Puget Sound Chinook ESU"
"Lower Skagit River - fall Chinook salmon",2015,2019,2331.30173531449,16000,0.145706358457156,0,0.622491983773332,"Puget Sound Chinook ESU"
"Mid-Hood Canal - fall Chinook salmon",NA,NA,NA,5200,NA,NA,NA,"Puget Sound Chinook ESU"
"Nisqually River - fall Chinook salmon",2015,2019,637.139924448807,13000,0.049010763419139,0,0.853331426189241,"Puget Sound Chinook ESU"
"North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon",2015,2019,198.369308077138,16000,0.0123980817548211,0,0.729017718514369,"Puget Sound Chinook ESU"
"North Fork Stillaguamish River - summer Chinook salmon",2015,2019,298.412477087374,18000,0.0165784709492985,0,0.0896614557097664,"Puget Sound Chinook ESU"
"Puyallup River - fall Chinook salmon",2015,2019,519.235197805954,18000,0.0288463998781086,0,0.0135082225644956,"Puget Sound Chinook ESU"
"Sammamish River - fall Chinook salmon",NA,NA,NA,4000,NA,NA,NA,"Puget Sound Chinook ESU"
"Skokomish River - fall Chinook salmon",2015,2019,253.295681248225,9100,0.0278346902470577,0,0.271253255501858,"Puget Sound Chinook ESU"
"Skykomish River - summer Chinook salmon",2015,2019,1710.21829670683,39000,0.0438517511976111,0,0.284291603956444,"Puget Sound Chinook ESU"
"Snoqualmie River - fall Chinook salmon",2015,2019,917.684052325768,25000,0.0367073620930307,0,0.204392101080453,"Puget Sound Chinook ESU"
"South Fork Nooksack River - spring Chinook salmon",2015,2019,43.6805318710895,9100,0.00480005844737247,0,0.377343508416539,"Puget Sound Chinook ESU"
"South Fork Stillaguamish River - fall Chinook salmon",2015,2019,25.5481215044971,15000,0.00170320810029981,0,0.465143256744827,"Puget Sound Chinook ESU"
"Suiattle River - spring Chinook salmon",2015,2019,592.849978988118,610,0.971885211455932,0,1.02943784579894,"Puget Sound Chinook ESU"
"Upper Sauk River - spring Chinook salmon",2015,2019,1241.52300488936,3030,0.409743565970084,0,1.7372115181477,"Puget Sound Chinook ESU"
"Upper Skagit River - summer Chinook salmon",2015,2019,9608.01658447463,26000,0.36953909940287,0,0.619059925318988,"Puget Sound Chinook ESU"
"White River - spring Chinook salmon",2015,2019,452.174659080927,NA,NA,NA,0.523670488488603,"Puget Sound Chinook ESU"
"Snake River - fall Chinook salmon",2015,2019,8447.68442707486,22984,0.367546311654841,0,8.88063415292555,"Snake River Fall Chinook ESU"
"Tucannon River - spring Chinook salmon",2015,2019,46.8130228116116,750,0.0624173637488155,0,-3.55771071144024,"Snake River Spring/Summer Chinook ESU"
"Entiat River - spring Chinook salmon",2015,2019,112.619997862088,500,0.225239995724176,0,2.36897678714647,"Upper Columbia River Spring Chinook ESU"
"Methow River - spring Chinook salmon",2015,2019,239.041944963252,2000,0.119520972481626,0,2.47568520836492,"Upper Columbia River Spring Chinook ESU"
"Wenatchee River - spring Chinook salmon",2015,2019,416.47186257532,2000,0.20823593128766,0,2.17294182418104,"Upper Columbia River Spring Chinook ESU"
"Cowlitz River - fall Chum salmon",NA,NA,NA,900,NA,NA,NA,"Columbia River Chum ESU"
"Cowlitz River - summer Chum salmon",NA,NA,NA,900,NA,NA,NA,"Columbia River Chum ESU"
"Elochoman River - fall Chum salmon",NA,NA,NA,1300,NA,NA,NA,"Columbia River Chum ESU"
"Grays and Chinook Rivers - fall Chum salmon",2015,2019,9742.16423302713,1600,6.08885264564196,1,3.23890759967538,"Columbia River Chum ESU"
"Kalama River - fall Chum salmon",NA,NA,NA,900,NA,NA,NA,"Columbia River Chum ESU"
"Lewis River - fall Chum salmon",NA,NA,NA,1300,NA,NA,NA,"Columbia River Chum ESU"
"Lower Gorge Tributaries - fall Chum salmon",2015,2019,3892.35648757896,1200,3.2436304063158,1,3.55118612989702,"Columbia River Chum ESU"
"Mill, Abernathy, and Germany Creeks - fall Chum salmon",NA,NA,NA,1300,NA,NA,NA,"Columbia River Chum ESU"
"Salmon Creek - fall Chum salmon",NA,NA,NA,NA,NA,NA,NA,"Columbia River Chum ESU"
"Upper Gorge Tributaries - fall Chum salmon",2015,2019,87.0195903047558,900,0.0966884336719509,0,3.57967652575537,"Columbia River Chum ESU"
"Washougal River - fall Chum salmon",2015,2019,2946.1708916411,1200,2.45514240970091,1,3.26131569728472,"Columbia River Chum ESU"
"Hood Canal - summer chum salmon",2015,2019,22508.443284085,21500,1.04690433879465,1,8.18518577773331,"Hood Canal Summer Chum ESU"
"Strait of Juan de Fuca - summer chum salmon",2015,2019,4703.66659360848,5100,0.922287567374211,0,10.7900306957615,"Hood Canal Summer Chum ESU"
"Cispus River - early and late Coho salmon",NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho ESU"
"Coweeman River - late Coho salmon",2015,2019,2099.79860026395,1200,1.74983216688663,1,-4.0067545288039,"Lower Columbia River Coho ESU"
"East Fork Lewis River - early and late Coho salmon",2015,2019,780.433818513629,2000,0.390216909256814,0,-3.07713811785332,"Lower Columbia River Coho ESU"
"Elochoman River - late Coho salmon",2015,2019,603.802720496477,2400,0.251584466873532,0,-3.38252826523336,"Lower Columbia River Coho ESU"
"Grays and Chinook Rivers - late Coho salmon",2015,2019,204.592436424297,2400,0.0852468485101238,0,-3.95825669723179,"Lower Columbia River Coho ESU"
"Kalama River - late Coho salmon",2015,2019,45.9519752409349,500,0.0919039504818699,0,-1.33448879638992,"Lower Columbia River Coho ESU"
"Lower Cowlitz River - late Coho salmon",2015,2019,2486.07593501256,3700,0.67191241486826,0,-3.71042844742432,"Lower Columbia River Coho ESU"
"Lower Gorge Tributaries - late Coho salmon",2015,2019,408.912273185929,950,0.430433971774663,0,-3.32116896927956,"Lower Columbia River Coho ESU"
"Mill, Abernathy, and Germany Creeks - late Coho salmon",2015,2019,687.005424810604,900,0.763339360900672,0,-2.61538607082388,"Lower Columbia River Coho ESU"
"North Fork Lewis River - early and late Coho salmon",2015,2019,1282.29182232128,500,2.56458364464256,1,-3.09363640906012,"Lower Columbia River Coho ESU"
"North Fork Toutle River - early and late Coho salmon",2015,2019,770.768032825431,1900,0.405667385697595,0,-3.65080497534521,"Lower Columbia River Coho ESU"
"Salmon Creek - late Coho salmon",2015,2019,1627.46891738989,NA,NA,NA,-3.16228065515687,"Lower Columbia River Coho ESU"
"South Fork Toutle River - early and late Coho salmon",2015,2019,977.69872336224,1900,0.514578275453811,0,-4.41231346860591,"Lower Columbia River Coho ESU"
"Tilton River - early and late Coho salmon",2015,2019,1843.37315081406,NA,NA,NA,-3.17161653384603,"Lower Columbia River Coho ESU"
"Upper Cowlitz River - early and late Coho salmon",2015,2019,739.109668598166,4000,0.184777417149542,0,-4.92724768113048,"Lower Columbia River Coho ESU"
"Upper Gorge Tributaries - late Coho salmon",NA,NA,NA,950,NA,NA,NA,"Lower Columbia River Coho ESU"
"Washougal River - late Coho salmon",2015,2019,174.780145386009,1300,0.134446265681545,0,-5.03689201771856,"Lower Columbia River Coho ESU"
"Ozette Lake - sockeye salmon",2015,2019,6583.60508927774,121000,0.0544099594155186,0,0.488506144149747,"Ozette Lake Sockeye ESU"
"Cispus River - winter Steelhead",NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"Coweeman River - winter Steelhead",2015,2019,517.382949375342,500,1.03476589875068,1,1.31549765230417,"Lower Columbia River Steelhead DPS"
"East Fork Lewis River - summer Steelhead",2015,2019,656.715411671285,500,1.31343082334257,1,1.80512143634839,"Lower Columbia River Steelhead DPS"
"East Fork Lewis River - winter Steelhead",2015,2019,602.74213646605,500,1.2054842729321,1,1.71385797180703,"Lower Columbia River Steelhead DPS"
"Kalama River - summer Steelhead",2015,2019,550.905127980912,500,1.10181025596182,1,1.59495971018537,"Lower Columbia River Steelhead DPS"
"Kalama River - winter Steelhead",2015,2019,617.712518147921,600,1.02952086357987,1,0.682676927363413,"Lower Columbia River Steelhead DPS"
"Lower Cowlitz River - winter Steelhead",NA,NA,NA,400,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"Lower Gorge Tributaries - winter Steelhead",NA,NA,NA,300,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"North Fork Lewis River - summer Steelhead",NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"North Fork Lewis River - winter Steelhead",NA,NA,NA,400,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"North Fork Toutle River - winter Steelhead",NA,NA,NA,600,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"Salmon Creek - winter Steelhead",NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"South Fork Toutle River - winter Steelhead",2015,2019,646.317090595342,600,1.07719515099224,1,1.1622769932033,"Lower Columbia River Steelhead DPS"
"Tilton River - winter Steelhead",2015,2019,214.336814668809,200,1.07168407334404,1,1.40241013770099,"Lower Columbia River Steelhead DPS"
"Upper Cowlitz River - winter Steelhead",2015,2019,181.512452027148,1000,0.181512452027148,0,1.64790150230962,"Lower Columbia River Steelhead DPS"
"Upper Gorge Tributaries - winter Steelhead",2015,2019,9.32871369910773,100,0.0932871369910773,0,0.798744956727893,"Lower Columbia River Steelhead DPS"
"Washougal River - summer Steelhead",2015,2019,644.840692374949,500,1.2896813847499,1,1.90613789464817,"Lower Columbia River Steelhead DPS"
"Washougal River - winter Steelhead",2015,2019,432.37445203446,350,1.23535557724132,1,0.851159046941197,"Lower Columbia River Steelhead DPS"
"Wind River - summer Steelhead",2015,2019,619.197411978696,1000,0.619197411978696,0,0.916417144359349,"Lower Columbia River Steelhead DPS"
"Klickitat River - summer and winter Steelhead",2015,2019,1505.45409389593,1000,1.50545409389593,1,-0.336066291723014,"Middle Columbia River Steelhead DPS"
"Naches River - summer Steelhead",2015,2019,807.88336663944,1500,0.53858891109296,0,-0.160710040203149,"Middle Columbia River Steelhead DPS"
"Rock Creek - summer Steelhead",2015,2019,239.523992070801,500,0.479047984141601,0,-0.526332269965724,"Middle Columbia River Steelhead DPS"
"Satus Creek - summer Steelhead",2015,2019,570.950696348891,500,1.14190139269778,1,-0.449378553111623,"Middle Columbia River Steelhead DPS"
"Toppenish Creek - summer Steelhead",2015,2019,206.675345761593,500,0.413350691523186,0,-1.14336414104322,"Middle Columbia River Steelhead DPS"
"Touchet River - summer Steelhead",2015,2019,158.542871797208,1000,0.158542871797208,0,-0.925100457808292,"Middle Columbia River Steelhead DPS"
"Walla Walla River - summer Steelhead",2015,2019,495.760382762601,1000,0.495760382762601,0,-0.172783202552784,"Middle Columbia River Steelhead DPS"
"White Salmon River - summer Steelhead",NA,NA,NA,500,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"Yakima River Upper Mainstem - summer Steelhead",2015,2019,293.028351283714,1500,0.195352234189143,0,1.06403734508609,"Middle Columbia River Steelhead DPS"
"Baker River - summer and winter Steelhead",NA,NA,NA,3800,NA,NA,NA,"Puget Sound Steelhead DPS"
"Canyon Creek - summer Steelhead",NA,NA,NA,400,NA,NA,NA,"Puget Sound Steelhead DPS"
"Cedar River - winter Steelhead",NA,NA,NA,4000,NA,NA,NA,"Puget Sound Steelhead DPS"
"Deer Creek - summer Steelhead",NA,NA,NA,2300,NA,NA,NA,"Puget Sound Steelhead DPS"
"Drayton Harbor Tributaries - winter Steelhead",NA,NA,NA,3700,NA,NA,NA,"Puget Sound Steelhead DPS"
"Dungeness River - summer and winter Steelhead",2015,2019,410.538211536325,4100,0.100131271106421,0,-1.37041789202172,"Puget Sound Steelhead DPS"
"East Hood Canal Tributaries - winter Steelhead",NA,NA,NA,6200,NA,NA,NA,"Puget Sound Steelhead DPS"
"East Kitsap Peninsula Tributaries - winter Steelhead",NA,NA,NA,8700,NA,NA,NA,"Puget Sound Steelhead DPS"
"Elwha River - winter Steelhead",NA,NA,NA,2619,NA,NA,NA,"Puget Sound Steelhead DPS"
"Green River - winter Steelhead",2015,2019,1230.74150298707,18700,0.0658150536356724,0,-0.990649168853408,"Puget Sound Steelhead DPS"
"Nisqually River - winter Steelhead",2015,2019,1466.8924637356,20500,0.0715557299383217,0,-1.25146294728609,"Puget Sound Steelhead DPS"
"Nookachamps Creek - winter Steelhead",NA,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"Nooksack River - winter Steelhead",2015,2019,1901.66234225276,21700,0.0876342093204037,0,-1.12503191608844,"Puget Sound Steelhead DPS"
"North Fork Skykomish River - summer Steelhead",NA,NA,NA,500,NA,NA,NA,"Puget Sound Steelhead DPS"
"North Lake Washington and Lake Sammamish - winter Steelhead",NA,NA,NA,16000,NA,NA,NA,"Puget Sound Steelhead DPS"
"Pilchuck River - winter Steelhead",2015,2019,633.479898418407,8200,0.0772536461485862,0,-1.64097801699034,"Puget Sound Steelhead DPS"
"Puyallup River/Carbon River - winter Steelhead",NA,NA,NA,15100,NA,NA,NA,"Puget Sound Steelhead DPS"
"Samish River and Bellingham Bay Tributaries - winter Steelhead",2015,2019,1208.56905101065,6100,0.198126073936173,0,-0.0886382663640939,"Puget Sound Steelhead DPS"
"Sauk River - summer and winter Steelhead",NA,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"Sequim/Discovery Bays Tributaries - winter Steelhead",NA,NA,NA,1700,NA,NA,NA,"Puget Sound Steelhead DPS"
"Skagit River - summer and winter Steelhead",2015,2019,6922.11679086063,15000,0.461474452724042,0,-0.402121234104202,"Puget Sound Steelhead DPS"
"Skokomish River - winter Steelhead",NA,NA,NA,7300,NA,NA,NA,"Puget Sound Steelhead DPS"
