"Stock Number","Population Name","Year","Abundance Quantity","Production Type","Calculation Type","Report Types"
9991,"Cispus River - spring Chinook salmon",NA,NA,"Natural",NA,"SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2010,413,"Natural","Expanded","SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2011,622,"Natural","Expanded","SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2012,463,"Natural","Expanded","SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2013,1568,"Natural","Expanded","SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2014,794,"Natural","Expanded","SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2015,1359,"Natural","Expanded","SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2016,411,"Natural","Expanded","SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2017,721,"Natural","Expanded","SCoRE,SOS"
1560,"Coweeman River - fall Chinook salmon",2018,216,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2010,136,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2011,63,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2012,62,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2013,80,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2014,147,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2015,230,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2016,91,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2017,77,"Natural","Expanded","SCoRE,SOS"
1508,"Elochoman River - fall Chinook salmon",2018,27,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2008,33,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2009,210,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2010,83,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2011,62,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2012,35,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2013,91,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2014,185,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2015,219,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2016,80,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2017,295,"Natural","Expanded","SCoRE,SOS"
1496,"Grays and Chinook Rivers - fall Chinook salmon",2018,515,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2010,593,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2011,428,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2012,288,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2013,812,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2014,764,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2015,2889,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2016,2539,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2017,1732,"Natural","Expanded","SCoRE,SOS"
1595,"Kalama River - fall Chinook salmon",2018,1643,"Natural","Expanded","SCoRE,SOS"
1592,"Kalama River - spring Chinook salmon",2007,37,"Natural","Expanded","SCoRE,SOS"
1592,"Kalama River - spring Chinook salmon",2008,59,"Natural","Expanded","SCoRE,SOS"
1592,"Kalama River - spring Chinook salmon",2009,80,"Natural","Expanded","SCoRE,SOS"
1592,"Kalama River - spring Chinook salmon",2010,46,"Natural","Expanded","SCoRE,SOS"
