"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Hood Canal - summer chum salmon",1999,1512.04354729173,2348.06956189066,2865.01998595115,3754.91622478054,6880.61031765609,"Hood Canal summer chum",2470
"Hood Canal - summer chum salmon",2000,3025.4672067186,4990.17021649807,6470.52411354185,7971.42289351168,11339.9836833219,"Hood Canal summer chum",8281
"Hood Canal - summer chum salmon",2001,4431.34877165319,6507.44217377836,7670.64506240732,9448.91262690685,14945.6510702077,"Hood Canal summer chum",7204
"Hood Canal - summer chum salmon",2002,5558.02796852486,7709.02689408337,9919.22953386493,12999.9952394393,21434.2101436803,"Hood Canal summer chum",6859
"Hood Canal - summer chum salmon",2003,10077.9323239975,16840.8472042221,21804.0145868384,26875.0010171466,38186.5633293127,"Hood Canal summer chum",27335
"Hood Canal - summer chum salmon",2004,12292.7251379048,22906.526498402,33456.2876037517,48052.5909139224,68435.2015054381,"Hood Canal summer chum",60374
"Hood Canal - summer chum salmon",2005,9295.41893655482,12553.9900129251,15625.0106618528,19662.1675188286,31104.2677604242,"Hood Canal summer chum",11348
"Hood Canal - summer chum salmon",2006,9820.82057207972,15125.9970640977,18609.963314336,21991.2075343662,32453.7220869123,"Hood Canal summer chum",21389
"Hood Canal - summer chum salmon",2007,6580.58918941156,9254.5272395033,11032.6836452276,13560.3182635439,21224.2959467729,"Hood Canal summer chum",9376
"Hood Canal - summer chum salmon",2008,6349.23208217505,9999.17848772884,12171.1801252377,14195.1030298152,20231.2350506708,"Hood Canal summer chum",13573
"Hood Canal - summer chum salmon",2009,4853.97166204635,6750.0741038761,8295.32006677837,10924.1228483269,17339.9636848537,"Hood Canal summer chum",6570
"Hood Canal - summer chum salmon",2010,6550.78727333761,9607.5659295299,11461.9778173698,14065.6080737687,22091.2853101014,"Hood Canal summer chum",11294
"Hood Canal - summer chum salmon",2011,5271.09221224656,7256.03088603119,9580.76123146028,12798.5505260442,20949.1816661157,"Hood Canal summer chum",6568
"Hood Canal - summer chum salmon",2012,10167.3490954882,16115.8039559019,20372.3023615036,24933.726461704,33973.7062515389,"Hood Canal summer chum",26501
"Hood Canal - summer chum salmon",2013,12331.6396389895,18542.3704780534,21921.7864490278,26665.4743514983,42552.0974386438,"Hood Canal summer chum",19965
"Hood Canal - summer chum salmon",2014,14058.8946674849,21798.6169175013,25868.8761427188,30597.2171304649,46898.940437766,"Hood Canal summer chum",26598
"Hood Canal - summer chum salmon",2015,18025.6505852333,27786.5470958727,32892.3207331896,40048.4115038018,62502.1947883129,"Hood Canal summer chum",31259
"Hood Canal - summer chum salmon",2016,18812.1644850032,31109.9585824959,39486.5606405428,47425.6806800932,69748.8545911549,"Hood Canal summer chum",46035
"Hood Canal - summer chum salmon",2017,12610.1879266002,22172.4774642948,32224.9606716521,46239.7201963376,65359.3018831538,"Hood Canal summer chum",55446
"Hood Canal - summer chum salmon",2018,7313.80959867188,11296.0993342748,13311.5576614196,16462.2846635343,26479.3578711433,"Hood Canal summer chum",12194
"Hood Canal - summer chum salmon",2019,5416.44339511399,7725.86669243736,10369.604688796,15381.0703158233,30875.0088310808,"Hood Canal summer chum",7344
"Hood Canal - summer chum salmon",2020,2251.37267153605,6973.53602634022,12120.4259056136,20147.0200352247,51122.0007076121,"Hood Canal summer chum",NA
"Strait of Juan de Fuca - summer chum salmon",1999,111.724727709109,154.703407914199,183.932931050874,241.041677704647,519.051193656155,"Hood Canal summer chum",155
"Strait of Juan de Fuca - summer chum salmon",2000,328.835676366596,465.833233720353,534.559806338918,643.46747421003,1067.31905293875,"Hood Canal summer chum",507
"Strait of Juan de Fuca - summer chum salmon",2001,799.463619666767,1205.98521053603,1427.69992136652,1628.26659305157,2291.6571292132,"Hood Canal summer chum",1483
"Strait of Juan de Fuca - summer chum salmon",2002,1638.51864659465,2761.00758682299,3481.44425438002,4136.11430964501,5408.68494207864,"Hood Canal summer chum",4221
"Strait of Juan de Fuca - summer chum salmon",2003,2568.36723446049,3732.85430374562,4344.90702846437,5055.15246783519,7520.2879012969,"Hood Canal summer chum",4283
"Strait of Juan de Fuca - summer chum salmon",2004,3450.51201551105,5065.36847377854,5847.42198280479,6798.44903119336,10048.3308347983,"Hood Canal summer chum",5794
"Strait of Juan de Fuca - summer chum salmon",2005,3101.60932646145,4750.65741655654,5644.73297042141,6467.47575302516,8903.27228743589,"Hood Canal summer chum",6001
"Strait of Juan de Fuca - summer chum salmon",2006,3273.57286035133,4993.69067106614,5900.32334239409,6712.90820908241,9219.30446588512,"Hood Canal summer chum",6375
"Strait of Juan de Fuca - summer chum salmon",2007,1994.80907185356,2805.54551687887,3205.87066082448,3798.74801118536,5728.74056143837,"Hood Canal summer chum",3019
"Strait of Juan de Fuca - summer chum salmon",2008,1888.32253064237,2658.81732601047,3072.89426506232,3584.42299123302,5342.5451870595,"Hood Canal summer chum",3011
"Strait of Juan de Fuca - summer chum salmon",2009,1816.83791895552,2496.7894591636,2855.30762473168,3357.42435891242,5107.76281737219,"Hood Canal summer chum",2660
"Strait of Juan de Fuca - summer chum salmon",2010,2811.94050662433,4334.72795549772,5199.09049458176,6007.86239772981,8118.67058809449,"Hood Canal summer chum",5925
"Strait of Juan de Fuca - summer chum salmon",2011,2435.44450765666,3596.65534391417,4168.4824289726,4866.2712580152,7150.28616526143,"Hood Canal summer chum",4063
"Strait of Juan de Fuca - summer chum salmon",2012,3439.36234028098,4733.89980518571,5403.32289258876,6429.66327860182,9785.14939848242,"Hood Canal summer chum",4981
"Strait of Juan de Fuca - summer chum salmon",2013,5108.80376900129,8279.8463476263,10223.3593510011,11952.6518930872,15836.8211146185,"Hood Canal summer chum",12042
"Strait of Juan de Fuca - summer chum salmon",2014,4890.74042978975,6831.30675316555,7828.41642578659,9237.82403006177,14517.4357785283,"Hood Canal summer chum",7181
"Strait of Juan de Fuca - summer chum salmon",2015,6305.87606235337,10422.5973867321,13025.940192019,15381.7047797078,20123.5517000468,"Hood Canal summer chum",15664
"Strait of Juan de Fuca - summer chum salmon",2016,4612.64621974413,7047.60755224639,8332.38898080071,9613.63459494299,13372.1708379634,"Hood Canal summer chum",9076
"Strait of Juan de Fuca - summer chum salmon",2017,1716.96876405182,2201.9744330333,2671.73570495546,3564.7316499241,6479.66372875292,"Hood Canal summer chum",2113
"Strait of Juan de Fuca - summer chum salmon",2018,1229.04582851744,1606.12926195854,1911.3730848665,2440.93494075413,4372.06095850255,"Hood Canal summer chum",1567
"Strait of Juan de Fuca - summer chum salmon",2019,1880.99980957728,3292.07432333885,4153.9864514188,4878.45688730051,6817.79985429519,"Hood Canal summer chum",4830
"Strait of Juan de Fuca - summer chum salmon",2020,1056.93603342105,2719.1723683649,4430.30775918272,7295.95221016164,19700.1708321311,"Hood Canal summer chum",NA
