"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Grays and Chinook Rivers - fall Chum salmon",1999,734.29942692092,2186.35588161267,3830.28322862948,6533.94045930295,20435.2275409148,"Lower Columbia chum",NA
"Grays and Chinook Rivers - fall Chum salmon",2000,1277.93368222236,2584.26665756185,3685.92307277434,5338.32349161961,11144.7193634354,"Lower Columbia chum",NA
"Grays and Chinook Rivers - fall Chum salmon",2001,3147.44574317237,4094.63903970468,4621.14281442682,5333.0000533595,7669.76030472006,"Lower Columbia chum",4246
"Grays and Chinook Rivers - fall Chum salmon",2002,7770.42195637663,9970.26351508184,11109.2860415479,12552.3844950122,16943.4601178734,"Lower Columbia chum",10493
"Grays and Chinook Rivers - fall Chum salmon",2003,8862.92864846645,12309.3691932916,14104.2929720909,15772.1601702456,20093.1515375623,"Lower Columbia chum",15559
"Grays and Chinook Rivers - fall Chum salmon",2004,7127.90284850183,10143.5628458618,11696.6893531162,13125.3088539699,16258.8693878021,"Lower Columbia chum",13151
"Grays and Chinook Rivers - fall Chum salmon",2005,3021.94576360196,3809.33840817616,4223.79853496144,4789.86628256743,6489.35398703659,"Lower Columbia chum",3795
"Grays and Chinook Rivers - fall Chum salmon",2006,3757.19460376261,4963.13483419111,5640.98076206584,6322.89063328341,7803.4425597833,"Lower Columbia chum",6162
"Grays and Chinook Rivers - fall Chum salmon",2007,2253.87848384503,3024.171989938,3442.4439999236,3839.98885107847,4806.38940321047,"Lower Columbia chum",3817
"Grays and Chinook Rivers - fall Chum salmon",2008,1799.25098199445,2261.28545849348,2513.52225575729,2825.65732003055,3716.38115482395,"Lower Columbia chum",2401
"Grays and Chinook Rivers - fall Chum salmon",2009,2139.65544808012,2695.39598988153,3006.39286124784,3403.64988051284,4533.35882456222,"Lower Columbia chum",2776
"Grays and Chinook Rivers - fall Chum salmon",2010,4560.04766876176,5689.00577410139,6271.00845120102,7020.72402947878,9166.59516321365,"Lower Columbia chum",6082
"Grays and Chinook Rivers - fall Chum salmon",2011,7058.73325373395,9277.00626205223,10328.2670723459,11530.3593347484,15227.8500447207,"Lower Columbia chum",10052
"Grays and Chinook Rivers - fall Chum salmon",2012,4987.8915392021,6643.16889439862,7465.94874941718,8306.68398405267,10304.4609525787,"Lower Columbia chum",7782
"Grays and Chinook Rivers - fall Chum salmon",2013,3423.79914892389,4317.77624284448,4789.83541398206,5348.37923914622,6930.30895844614,"Lower Columbia chum",4832
"Grays and Chinook Rivers - fall Chum salmon",2014,3364.11078292472,4162.66237563031,4625.3448731487,5273.40559392023,7242.2066976542,"Lower Columbia chum",4267
"Grays and Chinook Rivers - fall Chum salmon",2015,8475.66938929716,10709.1520208788,11912.7793071227,13391.2168212545,17457.2370624391,"Lower Columbia chum",10857
"Grays and Chinook Rivers - fall Chum salmon",2016,12315.896639913,18988.6432366984,23024.6593430066,26855.3942701888,33129.7360672312,"Lower Columbia chum",30408
"Grays and Chinook Rivers - fall Chum salmon",2017,4209.39193544937,5610.65155731929,6247.85910670484,6984.25674040717,9153.7767454479,"Lower Columbia chum",6217
"Grays and Chinook Rivers - fall Chum salmon",2018,4908.37826949526,6213.70165861705,6992.78922713085,8010.24349807575,11590.6037636259,"Lower Columbia chum",6320
"Grays and Chinook Rivers - fall Chum salmon",2019,1878.61528636362,4692.04386368197,7323.00377353714,11310.7967404454,25375.5572058931,"Lower Columbia chum",NA
"Grays and Chinook Rivers - fall Chum salmon",2020,555.852826182227,3225.19795821563,7458.7371054711,17301.472158498,83715.8688799157,"Lower Columbia chum",NA
"Lower Gorge Tributaries - fall Chum salmon",1999,376.525878557195,942.449874040073,1468.36317936934,2346.790776705,6144.38350955167,"Lower Columbia chum",NA
"Lower Gorge Tributaries - fall Chum salmon",2000,837.713276685502,1157.25095882664,1329.51616054229,1562.14785644593,2336.1831117162,"Lower Columbia chum",1265
"Lower Gorge Tributaries - fall Chum salmon",2001,1251.37603975307,1762.15137169351,2038.3764448311,2331.72614436267,3174.08883154782,"Lower Columbia chum",2032
"Lower Gorge Tributaries - fall Chum salmon",2002,3013.74094697964,4568.96559666045,5670.52673711446,6865.87884346786,8901.22678214077,"Lower Columbia chum",7954
"Lower Gorge Tributaries - fall Chum salmon",2003,2529.17773842578,3317.32329973475,3776.87820815445,4345.75257747838,5852.43955029684,"Lower Columbia chum",3381
"Lower Gorge Tributaries - fall Chum salmon",2004,1514.13836195276,1985.10328062877,2256.99203714094,2603.53915098469,3575.41412373037,"Lower Columbia chum",2103
"Lower Gorge Tributaries - fall Chum salmon",2005,679.336189754932,873.575081426806,991.07516925886,1138.23635653457,1543.32736754176,"Lower Columbia chum",901
"Lower Gorge Tributaries - fall Chum salmon",2006,810.344742587044,1107.61612177029,1304.07714776901,1498.51076368423,1919.4876696013,"Lower Columbia chum",1606
"Lower Gorge Tributaries - fall Chum salmon",2007,411.414502430076,521.881016817144,591.785408424018,685.445208966684,956.184600197208,"Lower Columbia chum",510
"Lower Gorge Tributaries - fall Chum salmon",2008,386.615594629459,508.995155055,577.220479462519,656.507651662706,893.81664046618,"Lower Columbia chum",576
"Lower Gorge Tributaries - fall Chum salmon",2009,479.689285363515,624.238899635654,725.349318551664,860.864363073939,1204.03687975996,"Lower Columbia chum",571
"Lower Gorge Tributaries - fall Chum salmon",2010,1389.49922637213,1899.16648426669,2221.91243580199,2537.46371325735,3220.29422401816,"Lower Columbia chum",2674
"Lower Gorge Tributaries - fall Chum salmon",2011,2134.86430495776,2856.22648008251,3236.28875022215,3703.72699262233,5057.38892833801,"Lower Columbia chum",3190
