"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Coweeman River - late Coho salmon",2005,139.284978941963,1092.76869015124,2815.61189621718,7202.374109623,39053.5851923513,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2006,202.109915734459,1214.09752767541,2718.42912093669,6143.40741313257,28768.5621720729,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2007,378.858852187582,1461.81378637264,2848.44860196243,5812.15272274987,22578.2052303467,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2008,590.547919756833,1843.07299529742,3198.74801007434,5521.67776007617,17433.2322935345,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2009,880.496349610045,2121.66810467654,3155.64292232546,4707.41527264337,9910.09600858193,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2010,2415.71086421612,2980.52340824307,3189.42051143813,3423.52256631562,4203.43196026015,"Lower Columbia coho",3199
"Coweeman River - late Coho salmon",2011,1753.26988499303,2168.28560913482,2330.96072721165,2490.94844246879,2957.56781009703,"Lower Columbia coho",2356
"Coweeman River - late Coho salmon",2012,1974.21486593439,2449.67260728706,2611.94243803055,2802.78424225338,3446.31463616819,"Lower Columbia coho",2587
"Coweeman River - late Coho salmon",2013,2607.84633403665,3214.68915317635,3457.70504640782,3687.30967084547,4495.48345120763,"Lower Columbia coho",3501
"Coweeman River - late Coho salmon",2014,3490.34302808308,4356.05105134116,4680.03588597846,5037.27772208254,6386.14604359895,"Lower Columbia coho",4692
"Coweeman River - late Coho salmon",2015,680.719085489962,790.521053541974,845.455118792818,931.183776840333,1242.61534852662,"Lower Columbia coho",803
"Coweeman River - late Coho salmon",2016,1755.3344363041,2340.42800464763,2547.72826072842,2714.31514278021,3149.10280831715,"Lower Columbia coho",2654
"Coweeman River - late Coho salmon",2017,1771.92601553967,2081.4579928499,2210.00175237854,2384.84185977919,3019.97281175416,"Lower Columbia coho",2156
"Coweeman River - late Coho salmon",2018,2086.54260060961,2760.1488727199,2988.89871377286,3203.59337504948,3965.63406115977,"Lower Columbia coho",3036
"Coweeman River - late Coho salmon",2019,751.705787214289,1879.40659442108,2869.06726778863,4352.06680515408,10097.1787347583,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2020,203.840842317272,1207.95947750917,2739.57445137451,6256.73088055316,35001.5895019434,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2005,53.2089784852525,575.462705532677,1710.77319820318,4947.77319534582,56799.2367859612,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2006,79.4131814996603,682.405105467875,1677.32637553804,4242.18713975299,34286.5770353673,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2007,117.044823445294,703.696460451008,1643.87177757824,3910.24738239082,22881.9620309041,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2008,236.580563038593,859.12463991371,1638.04592498312,3120.36058144843,12367.6177241513,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2009,381.328264794844,997.583740875089,1561.41895372618,2509.99800337326,6806.54733590777,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2010,1108.37230418334,1379.63907545525,1479.52548534017,1615.03812613949,2137.23898550418,"Lower Columbia coho",1458
"East Fork Lewis River - early and late Coho salmon",2011,1127.10815648213,1396.60662265748,1504.67043856073,1625.4266897424,2104.95195667083,"Lower Columbia coho",1493
"East Fork Lewis River - early and late Coho salmon",2012,1426.93440624023,1938.05945193389,2119.35105064104,2270.34168823111,2762.97565046501,"Lower Columbia coho",2179
"East Fork Lewis River - early and late Coho salmon",2013,1543.08044754625,2064.43447107871,2275.73479403136,2444.02202066325,2976.0728728107,"Lower Columbia coho",2324
"East Fork Lewis River - early and late Coho salmon",2014,1149.69320399408,1659.00311089599,1812.55897183627,1952.08909940794,2341.33790981242,"Lower Columbia coho",1868
"East Fork Lewis River - early and late Coho salmon",2015,275.029534006219,333.272034161822,358.48566172177,397.361099115568,619.625602318376,"Lower Columbia coho",347
"East Fork Lewis River - early and late Coho salmon",2016,351.134821468299,413.278319861158,445.931203527016,498.703609889707,724.112457701863,"Lower Columbia coho",414
"East Fork Lewis River - early and late Coho salmon",2017,643.355521028449,839.981422319102,909.921744422063,979.33413154492,1233.0407624563,"Lower Columbia coho",910
"East Fork Lewis River - early and late Coho salmon",2018,865.377126068755,1324.9034859249,1470.42661859068,1584.06132517005,1934.52475813575,"Lower Columbia coho",1532
"East Fork Lewis River - early and late Coho salmon",2019,303.071706375021,843.905206424936,1353.60936339133,2227.97086310351,6101.37187717489,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2020,72.5278143680997,527.471502406174,1290.49161759854,3348.19843349364,24627.8729249451,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2005,28.5444937555873,183.753884579653,555.721397976832,1520.47865329974,14538.5391099786,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2006,35.2140117844493,198.58929203775,486.209929335924,1228.26871799719,9063.53920061629,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2007,51.6358805176947,234.770932590646,535.442813260473,1174.76073706807,6083.325945157,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2008,83.5939410239509,289.486702312105,547.048193485274,1034.6209534065,3608.1202762677,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2009,164.537892685259,415.906842817315,647.222160489809,990.528442664448,2370.05178482478,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2010,396.461632085647,556.715717365193,605.143894044316,656.420775405099,857.758551195235,"Lower Columbia coho",603
"Elochoman River - late Coho salmon",2011,360.326890138886,492.848612005619,537.702722025337,575.848331113094,742.431111014817,"Lower Columbia coho",551
"Elochoman River - late Coho salmon",2012,297.501271525891,358.19142060143,385.906590123781,429.706055156806,607.785466068141,"Lower Columbia coho",367
"Elochoman River - late Coho salmon",2013,506.107585419505,617.186565005698,664.375395175615,726.24258379874,983.029354671975,"Lower Columbia coho",650
"Elochoman River - late Coho salmon",2014,1089.41284391659,2054.60447459424,2380.6981982424,2583.77218314371,2997.64477970555,"Lower Columbia coho",2572
"Elochoman River - late Coho salmon",2015,165.020385341871,199.499503196529,215.405300265907,243.782995893065,400.49641313625,"Lower Columbia coho",204
"Elochoman River - late Coho salmon",2016,434.200088900469,555.503437908664,598.195974805556,651.229358256694,911.939020669033,"Lower Columbia coho",589
"Elochoman River - late Coho salmon",2017,498.915129715522,711.006644925442,773.961606374318,838.151296142387,1135.47646660347,"Lower Columbia coho",780
"Elochoman River - late Coho salmon",2018,562.789775423646,842.330013072527,922.967083493596,992.642623834708,1214.67648259954,"Lower Columbia coho",944
"Elochoman River - late Coho salmon",2019,213.087737239978,528.953155624936,871.906319639626,1446.77905460745,3978.86045921021,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2020,50.4266075349091,316.474970492081,855.342711665348,2255.57448750469,17409.2824942367,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2005,1.00250806623448,57.3198198485612,335.950344533615,1624.36614659768,34249.3785652808,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2006,2.09585152542727,57.2786177959616,257.752294127351,1255.22028762591,22909.2363494877,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2007,5.05671106549215,72.5612397244735,237.412875153553,853.965811774208,12597.686370843,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2008,11.3871315883315,88.2940912637548,230.275834983054,645.202717792536,4176.69560365111,"Lower Columbia coho",NA
