"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",1998,486,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",1999,198,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2000,530,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2001,384,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2002,298,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2003,460,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2004,722,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2005,370,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2006,372,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2007,384,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2008,722,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2009,602,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2010,528,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2011,408,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2012,256,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2013,622,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2014,496,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2015,940,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2016,886,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2017,294,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2018,474,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","Coweeman River - winter Steelhead","Steelhead","Winter","Coweeman River",2019,354,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",1998,141,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",1999,139,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2000,229,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2001,271,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2002,440,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2003,910,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2004,425,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2005,673,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2006,560,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2007,412,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2008,365,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2009,800,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2010,600,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2011,1036,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2012,1084,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2013,1059,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2014,617,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2015,843,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2016,824,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2017,739,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2018,617,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade summer","East Fork Lewis River - summer Steelhead","Steelhead","Summer","East Fork Lewis River",2019,367,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",1998,376,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",1999,442,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2001,377,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2002,292,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2003,532,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2004,1298,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2005,246,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2006,458,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2007,448,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2008,548,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2009,688,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2010,336,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2011,308,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2012,272,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2013,488,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2014,414,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2015,678,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia steelhead","Cascade winter","East Fork Lewis River - winter Steelhead","Steelhead","Winter","East Fork Lewis River",2016,984,1,-99,-99,-99,-99,-99,-99,-99,-99
