"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Coweeman River - winter Steelhead",1998,250.047287604461,352.112469060483,404.65282003241,457.326758827741,588.101957448649,"Lower Columbia steelhead",486
"Coweeman River - winter Steelhead",1999,197.308615960549,249.988423646218,286.610797655287,331.46075356569,446.195797477735,"Lower Columbia steelhead",198
"Coweeman River - winter Steelhead",2000,281.84136013456,385.547060609287,439.328819700225,498.937905811685,631.108065236327,"Lower Columbia steelhead",530
"Coweeman River - winter Steelhead",2001,253.028353674688,325.383383622571,366.3075951448,410.947459124606,527.962766045213,"Lower Columbia steelhead",384
"Coweeman River - winter Steelhead",2002,239.944507836351,297.193074114011,332.773739176221,375.946675908236,481.990188042084,"Lower Columbia steelhead",298
"Coweeman River - winter Steelhead",2003,328.946927554799,419.107731205957,469.026540104693,528.579242883018,674.855086494148,"Lower Columbia steelhead",460
"Coweeman River - winter Steelhead",2004,430.421535206204,579.355717501681,659.232001142125,744.252206008927,934.347423864798,"Lower Columbia steelhead",722
"Coweeman River - winter Steelhead",2005,279.130444072328,349.075520372683,392.834365416495,444.091489308545,577.991851752719,"Lower Columbia steelhead",370
"Coweeman River - winter Steelhead",2006,281.467563626914,356.653476215644,400.55371268196,453.38334493624,589.329803259885,"Lower Columbia steelhead",372
"Coweeman River - winter Steelhead",2007,304.776972730308,376.241682252649,417.467664682635,470.269035369135,615.487176182749,"Lower Columbia steelhead",384
"Coweeman River - winter Steelhead",2008,379.235697973471,518.451859381584,589.928096699996,672.61589872308,847.582427285408,"Lower Columbia steelhead",722
"Coweeman River - winter Steelhead",2009,403.319128161934,528.513671725463,599.281476975955,671.990106583034,839.781726946937,"Lower Columbia steelhead",602
"Coweeman River - winter Steelhead",2010,337.225104391202,426.264446367288,476.423567159427,535.467478348057,675.677893721311,"Lower Columbia steelhead",528
"Coweeman River - winter Steelhead",2011,259.970027191524,333.769415182837,376.940027407523,424.717893927905,554.878029552493,"Lower Columbia steelhead",408
"Coweeman River - winter Steelhead",2012,232.258187680326,288.499993299811,326.229736457772,372.524038104622,496.487307799925,"Lower Columbia steelhead",256
"Coweeman River - winter Steelhead",2013,383.622206247116,490.722830354969,555.64862054481,623.114937030194,770.501363570443,"Lower Columbia steelhead",622
"Coweeman River - winter Steelhead",2014,396.037262466824,501.836713787715,566.903792061283,643.636507611735,827.854980775724,"Lower Columbia steelhead",496
"Coweeman River - winter Steelhead",2015,526.684092600691,689.930416723043,778.99767021449,877.104215683797,1089.88701821718,"Lower Columbia steelhead",940
"Coweeman River - winter Steelhead",2016,506.963483181589,666.034503217395,754.183879337402,848.318249449576,1052.87626827348,"Lower Columbia steelhead",886
"Coweeman River - winter Steelhead",2017,269.628368699007,336.786681597054,385.971965480965,445.131674800296,599.632717048487,"Lower Columbia steelhead",294
"Coweeman River - winter Steelhead",2018,319.56451403737,415.426334140676,467.516120431296,526.616465163188,670.195530486398,"Lower Columbia steelhead",474
"Coweeman River - winter Steelhead",2019,234.12905971435,307.401670131113,349.699334072766,398.386559967282,538.023605101363,"Lower Columbia steelhead",354
