"COMMON_POPULATION_NAME","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","ESU_DPS"
"Coweeman River - fall Chinook salmon",-0.202139151541265,-0.101695860469821,-0.0579221397877252,-0.0142185335711818,0.0773154156714454,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Elochoman River - fall Chinook salmon",-0.218068934075372,-0.110484593181158,-0.0670241239781886,-0.02399533915655,0.0662036733477581,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Grays and Chinook Rivers - fall Chinook salmon",-0.171873613232737,-0.0831405140233864,-0.0392004120673391,0.013724789665436,0.148141878423351,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Kalama River - fall Chinook salmon",-0.15993335862677,-0.0778504442085868,-0.0340687280525355,0.0164272643749779,0.15384617311338,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Kalama River - spring Chinook salmon",-0.175344184229894,-0.0922942117123796,-0.0494510019402089,-0.00937954552762829,0.0809850998189243,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lewis River - fall Chinook salmon",-0.17549167829088,-0.0923604199108186,-0.0507536760426443,-0.00961418246934644,0.080399161303175,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lewis River - late fall Chinook salmon",-0.197830017504813,-0.101634172177721,-0.0589961071959842,-0.0161435651305325,0.0769518052402218,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lower Cowlitz River - fall Chinook salmon",-0.184412352782185,-0.0932759686765322,-0.051712914751605,-0.00919105525809644,0.0917126841958016,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",-0.270840269678829,-0.122644388497026,-0.0749719720875651,-0.0310380069857358,0.0513140305871172,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Toutle River - fall Chinook salmon",-0.185214690414014,-0.0958098171700565,-0.0527350651286197,-0.00918271851969283,0.0902975362152749,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Upper Cowlitz River - fall Chinook salmon",-0.210082179916779,-0.107172236405739,-0.0645237485235597,-0.023500133987981,0.0678501267670217,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Upper Cowlitz River - spring Chinook salmon",-0.212513249534952,-0.110407462887713,-0.067121689944108,-0.0268670232577905,0.0549472571024009,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Upper Gorge Tributaries - fall Chinook salmon",-0.197152238584637,-0.102944783553479,-0.0604978798517736,-0.0179967287266191,0.0715722142054234,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Washougal River - fall Chinook salmon",-0.186438351258133,-0.0902696486211756,-0.0478648560064885,-0.00342137391506103,0.104607917311271,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"White Salmon River - fall Chinook salmon",-0.243645981067477,-0.122274990572268,-0.0776070983192663,-0.0357411868539785,0.0433161364231376,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"White Salmon River - spring Chinook salmon",-0.232615927458097,-0.11378974212206,-0.0679445958787058,-0.0252994822678888,0.0667005647557863,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Cascade River - spring Chinook salmon",-0.0423117088797649,-0.0105967299387287,0.00508147749874324,0.022187936846715,0.062180403120626,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Cedar River - fall Chinook salmon",-0.0462048823279175,-0.0108003312857376,0.00577396671354414,0.0236515447206524,0.0651142703715775,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Dungeness River - summer Chinook salmon",-0.0421080145541592,-0.00800828164682106,0.00865252539600801,0.0287397356904816,0.0756128515795576,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Elwha River - fall Chinook salmon",-0.0401249905345794,-0.00527271437879494,0.0125797762853338,0.0330330594510131,0.0884590075834759,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Green River - fall Chinook salmon",-0.0479166618990114,-0.00984770519326065,0.00622465638595856,0.0250979579680092,0.0686152891663345,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Lower Sauk River - summer Chinook salmon",-0.0526951701839908,-0.0136796231741245,0.00296991764333833,0.0207781766761376,0.0616772418436047,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Lower Skagit River - fall Chinook salmon",-0.0429033784191747,-0.00981997410469335,0.00620562505515705,0.0232323328659057,0.0651972980946339,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Nisqually River - fall Chinook salmon",-0.0411818335215828,-0.00743604860420718,0.00849711134387107,0.0268273689504471,0.0676539496813284,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon",-0.0418522716259944,-0.0085374402442256,0.00726373229097877,0.0249690347350529,0.0656949450779438,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"North Fork Stillaguamish River - summer Chinook salmon",-0.0638091395811915,-0.0170087730933282,0.000896212838372255,0.0189266308332803,0.0592527993153262,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Puyallup River - fall Chinook salmon",-0.0586732553956005,-0.0183032381684074,0.000135073102862587,0.017449944533553,0.0562959815142162,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Skokomish River - fall Chinook salmon",-0.0502094346530137,-0.0138328389315612,0.00270886027786947,0.0210024909158261,0.0591269746104003,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Skykomish River - summer Chinook salmon",-0.0510539521165004,-0.0137920087712848,0.00283888259644558,0.0207973580021757,0.060999608694014,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Snoqualmie River - fall Chinook salmon",-0.0523339348705842,-0.0149651023196428,0.00204183504613633,0.0190129690101771,0.0607447190918184,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"South Fork Nooksack River - spring Chinook salmon",-0.0530111226867381,-0.0141639219319474,0.0037663335372094,0.0217338955921137,0.0631643413741371,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"South Fork Stillaguamish River - fall Chinook salmon",-0.0559188595593732,-0.0123859828472391,0.00464064808425026,0.0232936676052199,0.0677258281844724,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Suiattle River - spring Chinook salmon",-0.0358457611621274,-0.00532628033962032,0.010241752205632,0.028092407022174,0.0710573728043975,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Upper Sauk River - spring Chinook salmon",-0.033413779718117,0.00030249188856925,0.0172229451102209,0.037275347371086,0.0850742124147081,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Upper Skagit River - summer Chinook salmon",-0.0439550948576517,-0.0097209760506316,0.00617151621011863,0.0237597494187043,0.0625066406555582,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"White River - spring Chinook salmon",-0.0478500851565006,-0.0122553758283874,0.00522304102749389,0.0229952721944996,0.0645667069653324,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Snake River - fall Chinook salmon",-0.083035811097258,0.0277986536673334,0.0850819966670112,0.141048199395947,0.251535734572827,"Snake River fall Chinook","Salmon, Chinook (Snake River fall-run ESU)"
"Tucannon River - spring Chinook salmon",-0.353850943,-0.14571691,-0.036225395,0.079140928,0.246394819,"Snake River spring and summer Chinook","Salmon, Chinook (Snake River spring/summer-run ESU)"
"Entiat River - spring Chinook salmon",-0.173301839359397,-0.0397070272139815,0.0234135196523191,0.0860325477911103,0.214822851022844,"Upper Columbia spring Chinook","Salmon, Chinook (Upper Columbia River spring-run ESU)"
"Methow River - spring Chinook salmon",-0.178827592969215,-0.039298646873702,0.0244553669704883,0.0853774591092607,0.218525683414393,"Upper Columbia spring Chinook","Salmon, Chinook (Upper Columbia River spring-run ESU)"
"Wenatchee River - spring Chinook salmon",-0.173712556052884,-0.0398943269426697,0.0214966996252171,0.0832920386717977,0.204263402382543,"Upper Columbia spring Chinook","Salmon, Chinook (Upper Columbia River spring-run ESU)"
"Grays and Chinook Rivers - fall Chum salmon",-0.148991550249792,-0.02592965272434,0.0318756076331073,0.0934592864662631,0.230496026493164,"Lower Columbia chum","Salmon, chum (Columbia River ESU)"
"Lower Gorge Tributaries - fall Chum salmon",-0.158165443801706,-0.02624670002479,0.0348958564464879,0.0980315883681395,0.239309822453255,"Lower Columbia chum","Salmon, chum (Columbia River ESU)"
