"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",1999,83,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2000,273,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2001,625,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2002,340,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2003,298,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2004,380,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2005,420,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2006,478,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2007,223,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2008,284,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2009,338,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2010,330,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2011,265,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2012,488,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2013,310,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2014,225,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2015,188,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2016,295,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2017,323,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Cascade River - spring Chinook salmon","Chinook","-","-",2018,128,1,-99,-99,-99,-99,-99,-99,-99,-99
