"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",1992,549,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",1993,742,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",1994,406,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",1995,350,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",1996,639,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",1997,796,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",1998,306,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",1999,905,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2000,1148,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2001,5163,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2002,2116,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2003,5390,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2004,7217,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2005,5177,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2006,4665,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2007,3741,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2008,3930,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2009,4977,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2010,7988,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2011,8778,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2012,12786,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2013,20829,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2014,13035,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2015,15757,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2016,9687,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2017,6930,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2018,6140,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River fall Chinook","-","Snake River - fall Chinook salmon","Chinook","fall","-",2019,6558,1,-99,-99,-99,-99,-99,-99,-99,-99
