"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",1992,305,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",1993,245,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",1994,97,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",1995,27,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",1996,117,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",1997,68,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",1998,44,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",1999,4,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2000,62,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2001,614,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2002,224,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2003,244,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2004,286,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2005,212,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2006,153,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2007,164,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2008,486,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2009,604,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2010,542,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2011,597,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2012,234,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2013,118,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2014,213,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2015,173,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2016,114,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2017,49,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2018,29,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River spring and summer Chinook","Lower Snake","Tucannon River - spring Chinook salmon","Chinook salmon","Spring","Tucannon River",2019,8,1,-99,-99,-99,-99,-99,-99,-99,-99
