"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"eps[1,1]",1.90280969774604,0.018516749472443,0.632871089405884,0.716360816512639,1.46789733886626,1.88489652373425,2.31300672423321,3.21312465822131,1168.15645266897,1.00202044843288
"eps[1,2]",0.774049704135878,0.0353593586999663,1.04253061468416,-1.3666017988785,0.110777681746245,0.823217074585151,1.4945170962765,2.69478191274944,869.298389207648,1.00553337388306
"eps[1,3]",0.751981395865308,0.0197001708285056,0.961730085815158,-1.22134880350113,0.0976948206382299,0.785376328182103,1.42536639805033,2.56962070365325,2383.23254194843,1.00244198720609
"eps[2,1]",1.69186441440172,0.0134292829471071,0.600118062852151,0.535948290540528,1.31053257883347,1.66778414615672,2.07102620988221,2.93470855973929,1996.95256517395,0.999523000819698
"eps[2,2]",0.837533069474296,0.030368619567542,0.949468787272935,-1.04709788936476,0.209195101904696,0.851048207244022,1.50868495333775,2.66386428070972,977.487657717541,1.00148979641643
"eps[2,3]",-0.0441085909459512,0.0185006180069694,0.894497337002547,-1.79023424993816,-0.641846321422253,-0.0291421247467552,0.54856556409627,1.78939243156517,2337.68307070243,1.00011876602331
"eps[3,1]",-0.416138339044656,0.0110060649374749,0.541290766303392,-1.48885705703068,-0.768646802590748,-0.415211432100954,-0.0727587696855038,0.67897535231761,2418.78404699029,0.999535605006665
"eps[3,2]",-0.56939354685741,0.0235445106302801,0.886424772832708,-2.23015772206965,-1.18432861255272,-0.586981651104242,0.0279648554776937,1.23082608270046,1417.43918050686,1.0029102998766
"eps[3,3]",-0.0933785413082209,0.0152426412035157,0.880478261466626,-1.83921408590971,-0.68755742470213,-0.0870433237614225,0.505251817090972,1.58153339643603,3336.6973935042,1.00058638631873
"eps[4,1]",-0.303605563760484,0.0193229216978814,0.59074200243876,-1.51296511681187,-0.701112242581046,-0.274014393430198,0.107403535820407,0.781861742182903,934.652374421082,1.00345387135121
"eps[4,2]",-0.79128107292185,0.0362752328203365,0.948673696503172,-2.49634125593135,-1.46370052257914,-0.849972776193179,-0.152053917487467,1.18786806843716,683.932594325194,1.00205522300643
"eps[4,3]",-0.476407892622054,0.0160045139452901,0.885175256753183,-2.13346512202443,-1.07072402530115,-0.500762580959959,0.0980290417231128,1.30639288684482,3058.95827261893,1.00171314851228
"eps[5,1]",0.262906643013084,0.0218121783929453,0.637303997795869,-0.911580322654221,-0.193314160153043,0.241243593001221,0.680466011029715,1.55870441979036,853.68019032932,1.00260233605992
"eps[5,2]",0.991395358293866,0.0372580575415082,0.961240482356488,-1.01154664585724,0.353805430199641,1.0338229064652,1.67713342882537,2.74493714193663,665.615899276684,1.00085687821044
"eps[5,3]",0.045669553595423,0.0165216365605977,0.888536226238118,-1.7326229762299,-0.543452104601814,0.0517544374355068,0.658213269298329,1.75993327787171,2892.30540486017,1.002122025062
"eps[6,1]",-0.70239892329575,0.0145971465627377,0.575993126602812,-1.89479670300197,-1.06115754989884,-0.671450912586226,-0.315832410004565,0.355042914534753,1557.03603880638,1.00417383747267
"eps[6,2]",0.0405769881218338,0.0274518089653786,0.955834678745228,-1.84008577994697,-0.605745043416805,0.0698226610857004,0.650372963202414,1.95059062156538,1212.33775494583,1.00258088480376
