"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1960,454,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1961,171,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1962,446,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1963,562,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1964,1489,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1965,403,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1966,1190,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1967,977,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1968,977,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1969,322,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1970,271,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1971,527,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1972,236,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1973,888,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1974,341,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1975,605,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1976,182,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1977,688,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1978,1213,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1979,316,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1980,385,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1981,344,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1982,403,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1983,378,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1984,283,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1985,386,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1986,340,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1987,188,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1988,214,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1989,101,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1990,281,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1991,99,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1992,128,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1993,329,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1994,72,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1995,22,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1996,40,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1997,68,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1998,42,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",1999,29,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2000,73,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2001,226,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2002,152,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2003,199,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2004,142,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2005,129,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2006,79,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2007,206,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2008,95,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2009,180,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2010,334,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2011,381,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2012,254,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2013,152,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2014,225,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2015,417,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2016,297,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2017,63,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Entiat River - spring Chinook salmon","Chinook salmon","Spring","Entiat River",2018,46,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1960,2313,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1961,665,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1962,2813,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1963,2093,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1964,4198,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1965,1556,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1966,4927,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1967,2621,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1968,1958,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1969,1405,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1970,1824,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1971,1535,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1972,1644,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1973,2415,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1974,1193,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1975,2108,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1976,713,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1977,2286,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1978,2734,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1979,664,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1980,623,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1981,596,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1982,766,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1983,1054,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1984,1183,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1985,1326,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1986,1120,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1987,1561,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1988,1661,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1989,1202,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1990,1118,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1991,620,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1992,1325,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1993,947,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1994,246,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1995,35,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1996,19,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1997,269,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1998,20,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",1999,45,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2000,117,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2001,1832,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2002,345,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2003,58,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2004,488,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2005,527,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2006,328,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2007,266,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2008,298,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2009,564,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2010,601,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2011,961,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2012,261,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2013,241,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2014,508,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2015,398,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2016,320,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2017,176,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2018,265,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Methow River - spring Chinook salmon","Chinook salmon","Spring","Methow River",2019,114,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1960,2371,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1961,1540,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1962,3056,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1963,1874,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1964,2771,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1965,3523,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1966,6718,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1967,3978,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1968,4663,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1969,3761,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1970,2814,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia spring Chinook","North Cascades","Wenatchee River - spring Chinook salmon","Chinook salmon","Spring","Wenatchee River",1971,1589,1,-99,-99,-99,-99,-99,-99,-99,-99
