"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1987,104,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1988,182,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1989,113,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1990,109,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1991,56,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1992,104,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1993,62,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1994,36,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1995,36,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1996,48,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1997,31,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1998,37,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",1999,38,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2000,51,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2001,98,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2002,266,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2003,117,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2004,94,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2005,116,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2006,128,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2007,59,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2008,123,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2009,102,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2010,297,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2011,293,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2012,171,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2013,129,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2014,161,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2015,227,1,-99,-99,-99,-99,-99,-99,-99,-99
"Upper Columbia steelhead","North Cascades","Entiat River - summer Steelhead","Steelhead","Summer","Entiat River",2016,131,1,-99,-99,-99,-99,-99,-99,-99,-99
