"COMMON_POPULATION_NAME","WDFW.Name","Stock.Number"
"Cispus River - spring Chinook salmon","Asotin Creek Spring Chinook",1712
"Coweeman River - fall Chinook salmon","Coweeman Fall (Tule) Chinook",1560
"Elochoman River - fall Chinook salmon","Elochoman/Skamokawa Fall Chum",2749
"Grays and Chinook Rivers - fall Chinook salmon","Grays/Chinook Fall (Tule) Chinook",1496
"Kalama River - fall Chinook salmon","Kalama Spring Chinook",1592
"Kalama River - spring Chinook salmon","Kalama Spring Chinook",1592
"Lewis River - fall Chinook salmon","Lewis River Fall (Tule) Chinook",1610
"Lewis River - late fall Chinook salmon","Lewis River Late Fall (Bright) Chinook",1620
"Lower Cowlitz River - fall Chinook salmon","Lower Cowlitz Fall (Tule) Chinook",1557
"Lower Gorge Tributaries - fall Chinook salmon","Lower Gorge (Columbia) Fall Chum",2765
"Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Mill/Abernathy/Germany Creeks Fall Chum",2750
"North Fork Lewis River - spring Chinook salmon","North Fork Lewis Spring Chinook",1600
"Salmon Creek - fall Chinook salmon","Asotin Creek Spring Chinook",1712
"Tilton River - spring Chinook salmon","Asotin Creek Spring Chinook",1712
"Toutle River - fall Chinook salmon","Toutle Fall (Tule) Chinook",1577
"Toutle River - spring Chinook salmon","Asotin Creek Spring Chinook",1712
"Upper Cowlitz River - fall Chinook salmon","Upper Cowlitz Fall (Tule) Chinook",1558
"Upper Cowlitz River - spring Chinook salmon","Upper Cowlitz and Cispus Spring Chinook",1553
"Upper Gorge Tributaries - fall Chinook salmon","Upper Gorge (Columbia) Fall Chum",2757
"Washougal River - fall Chinook salmon","Washougal Fall (Tule) Chinook",1624
"White Salmon River - fall Chinook salmon","Big White Salmon River Spring Chinook",1658
"White Salmon River - spring Chinook salmon","Big White Salmon River Spring Chinook",1658
"Cascade River - spring Chinook salmon","Asotin Creek Spring Chinook",1712
"Cedar River - fall Chinook salmon","Cedar Chinook",1144
"Dungeness River - summer Chinook salmon","Dungeness Chinook",1240
"Elwha River - fall Chinook salmon","Lower Sauk Chinook",1048
"Green River - fall Chinook salmon","Green River (Duwamish) Chinook",1160
"Lower Sauk River - summer Chinook salmon","Lower Sauk Chinook",1048
"Lower Skagit River - fall Chinook salmon","Lower Skagit Chinook",1040
"Mid-Hood Canal - fall Chinook salmon","Mid Hood Canal Chinook",1236
"Nisqually River - fall Chinook salmon","Nisqually Chinook",1200
"North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon","North Fork Nooksack Chinook (including Middle Fork Nooksack River)",1008
"North Fork Stillaguamish River - summer Chinook salmon","North Fork Stillaguamish Chinook",1081
"Puyallup River - fall Chinook salmon","Puyallup Chinook",1176
"Sammamish River - fall Chinook salmon","Sammamish Chinook",1128
"Skokomish River - fall Chinook salmon","Skykomish Chinook",1106
"Skykomish River - summer Chinook salmon","Skykomish Chinook",1106
"Snoqualmie River - fall Chinook salmon","Snoqualmie Chinook",1108
"South Fork Nooksack River - spring Chinook salmon","South Fork Nooksack Chinook",1016
"South Fork Stillaguamish River - fall Chinook salmon","South Fork Stillaguamish Chinook",1083
"Suiattle River - spring Chinook salmon","Wenatchee Spring Chinook",1770
"Upper Sauk River - spring Chinook salmon","North Fork Lewis Spring Chinook",1600
"Upper Skagit River - summer Chinook salmon","Upper Skagit Chinook",1032
"White River - spring Chinook salmon","Wenaha Spring Chinook",1715
"Snake River - fall Chinook salmon","Lower Sauk Chinook",1048
"Tucannon River - spring Chinook salmon","Tucannon Spring Chinook",1704
"Entiat River - spring Chinook salmon","Entiat Spring Chinook",1808
"Methow River - spring Chinook salmon","Methow Spring Chinook",1824
"Wenatchee River - spring Chinook salmon","Wenatchee Spring Chinook",1770
"Cowlitz River - fall Chum salmon","Cowlitz Fall Chum",2752
"Cowlitz River - summer Chum salmon","Cowlitz Summer Chum",2751
"Elochoman River - fall Chum salmon","Elochoman/Skamokawa Fall Chum",2749
"Grays and Chinook Rivers - fall Chum salmon","Grays/Chinook Fall Chum",2748
"Kalama River - fall Chum salmon","Kalama Fall Chum",2753
"Lewis River - fall Chum salmon","Lewis River Fall (Tule) Chinook",1610
"Lower Gorge Tributaries - fall Chum salmon","Lower Gorge (Columbia) Fall Chum",2765
"Mill, Abernathy, and Germany Creeks - fall Chum salmon","Mill/Abernathy/Germany Creeks Fall Chum",2750
"Salmon Creek - fall Chum salmon","Salmon Creek Coho",3770
"Upper Gorge Tributaries - fall Chum salmon","Upper Gorge (Columbia) Fall Chum",2757
"Washougal River - fall Chum salmon","Washougal Fall Chum",2756
"Hood Canal - summer chum salmon","Hood Canal Summer Chum",2300
"Strait of Juan de Fuca - summer chum salmon","Strait of Juan de Fuca Summer Chum",2500
"Cispus River - early and late Coho salmon","Lewis River Fall (Tule) Chinook",1610
"Coweeman River - late Coho salmon","Coweeman Winter Steelhead",6707
"East Fork Lewis River - early and late Coho salmon","East Fork Lewis Winter Steelhead",6770
"Elochoman River - late Coho salmon","Elochoman/Skamokawa Coho",3645
"Grays and Chinook Rivers - late Coho salmon","Grays/Chinook Winter Steelhead",6658
"Kalama River - late Coho salmon","Kalama Winter Steelhead",6742
"Lower Cowlitz River - late Coho salmon","Lower Cowlitz Winter Steelhead",6701
"Lower Gorge Tributaries - late Coho salmon","Lower Gorge (Columbia) Coho",3790
"Mill, Abernathy, and Germany Creeks - late Coho salmon","Mill/Abernathy/Germany Creeks Fall Chum",2750
"North Fork Lewis River - early and late Coho salmon","North Fork Lewis Winter Steelhead",6749
"North Fork Toutle River - early and late Coho salmon","North Fork Toutle Winter Steelhead",6714
"Salmon Creek - late Coho salmon","Salmon Creek Coho",3770
"South Fork Toutle River - early and late Coho salmon","South Fork Toutle Winter Steelhead",6721
