"ESU_DPS","ESU_DPS_COMMONNAME","MAJORPOPGROUP","COMMONPOPNAME2","COMMONNAME","RUN","WATERBODY","SPAWNINGYEAR","final_abundance","final_abundance_data_type","METHODNUMBER"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2010,413,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2011,622,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2012,463,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2013,1568,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2014,794,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2015,1359,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2016,411,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2017,721,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2018,216,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2019,287,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2020,744,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2021,607,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2010,136,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2011,63,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2012,62,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2013,80,"NOSAEJ",1
