"ESU_DPS","COMMONPOPNAME2","SPAWNINGYEAR","SASI_STOCK_NUM","SASISTOCKNAME","COMMONNAME","RUN","RECOVERYDOMAIN","MAJORPOPGROUP","POPID","ESAPOPNAME","COMMONPOPNAME","POPFIT","POPFITNOTES","ESTIMATETYPE","WATERBODY","METHODNUMBER","BESTVALUE","NOSAIJ","NOSAIJLOWERLIMIT","NOSAIJUPPERLIMIT","NOSAIJALPHA","NOSAEJ","NOSAEJLOWERLIMIT","NOSAEJUPPERLIMIT","NOSAEJALPHA","PHOSIJ","PHOSIJLOWERLIMIT","PHOSIJUPPERLIMIT","PHOSIJALPHA","PHOSEJ","PHOSEJLOWERLIMIT","PHOSEJUPPERLIMIT","PHOSEJALPHA","TSAIJ","TSAIJLOWERLIMIT","TSAIJUPPERLIMIT","TSAIJALPHA","TSAEJ","TSAEJLOWERLIMIT","TSAEJUPPERLIMIT","TSAEJALPHA","AGE2PROP","AGE2PROPLOWERLIMIT","AGE2PROPUPPERLIMIT","AGE3PROP","AGE3PROPLOWERLIMIT","AGE3PROPUPPERLIMIT","AGE4PROP","AGE4PROPLOWERLIMIT","AGE4PROPUPPERLIMIT","AGE5PROP","AGE5PROPLOWERLIMIT","AGE5PROPUPPERLIMIT","AGE6PROP","AGE6PROPLOWERLIMIT","AGE6PROPUPPERLIMIT","AGE7PROP","AGE7PROPLOWERLIMIT","AGE7PROPUPPERLIMIT","AGE8PROP","AGE8PROPLOWERLIMIT","AGE8PROPUPPERLIMIT","AGE9PROP","AGE9PROPLOWERLIMIT","AGE9PROPUPPERLIMIT","AGE10PROP","AGE10PROPLOWERLIMIT","AGE10PROPUPPERLIMIT","AGE11PLUSPROP","AGE11PLUSPROPLOWERLIMIT","AGE11PLUSPROPUPPERLIMIT","AGEPROPALPHA","OTHERDATASOURCES","COMMENTS","DATASTATUS","STOCK_ID","ESU_DPS_COMMONNAME","USECA","Notes","final_abundance_data_type","final_abundance","datasource"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2010,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,413,304,544,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,449,743,0.05,NA,NA,NA,0.256,0.154,0.372,0.614,0.487,0.735,0.128,0.057,0.225,0.002,0,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",413,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2011,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,622,545,720,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707,619,819,0.05,NA,NA,NA,0.168,0.113,0.232,0.779,0.708,0.842,0.045,0.019,0.084,0.008,0,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",622,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2012,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,463,356,602,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,402,690,0.05,NA,NA,NA,0.305,0.197,0.427,0.454,0.333,0.582,0.238,0.139,0.356,0.003,0,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",463,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2013,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,1568,838,2527,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2322,1253,3737,0.05,NA,NA,NA,0.236,0.194,0.279,0.756,0.713,0.798,0.008,0.002,0.018,0,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",1568,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2014,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,794,703,912,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,734,957,0.05,NA,NA,NA,0.233,0.197,0.271,0.641,0.601,0.681,0.126,0.1,0.154,0,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",794,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2015,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,1359,1303,1439,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1391,1326,1484,0.05,NA,NA,NA,0.272,0.245,0.302,0.62,0.589,0.651,0.107,0.087,0.131,0.001,0,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",1359,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2016,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,411,200,724,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,216,766,0.05,NA,NA,NA,0.183,0.072,0.331,0.581,0.408,0.743,0.233,0.108,0.391,0.003,0,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",411,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2017,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,721,582,897,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841,709,1030,0.05,NA,NA,NA,0.215,0.176,0.263,0.682,0.628,0.729,0.101,0.073,0.143,0.001,0,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",721,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2018,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,216,167,301,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,210,332,0.05,NA,NA,NA,0.249,0.183,0.321,0.702,0.627,0.771,0.048,0.021,0.087,0.001,0,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",216,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2019,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,287,134,547,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,256,659,0.05,NA,NA,NA,0.638,0.531,0.716,0.314,0.241,0.413,0.045,0.018,0.093,0.003,0,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",287,"Coordinated_Assessments"
