"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2010,413,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2011,622,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2012,463,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2013,1568,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2014,794,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2015,1359,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2016,411,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2017,721,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2018,216,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2019,287,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2020,744,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2021,607,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2010,136,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2011,63,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2012,62,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2013,80,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2014,147,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2015,230,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2016,91,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2017,77,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2018,27,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2019,38,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2020,58,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2021,86,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2008,33,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2009,210,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2010,83,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2011,62,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2012,35,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2013,91,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2014,185,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2015,219,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2016,80,1,-99,-99,-99,-99,-99,-99,-99,-99
