"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Puget Sound steelhead","Puget Sound Steelhead DPS","Dungeness River - summer and winter Steelhead","Steelhead","Winter",NA,2011,455,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Dungeness River - summer and winter Steelhead","Steelhead","Winter",NA,2013,619,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Dungeness River - summer and winter Steelhead","Steelhead","Winter",NA,2014,585,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Dungeness River - summer and winter Steelhead","Steelhead","Winter",NA,2015,618,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Dungeness River - summer and winter Steelhead","Steelhead","Winter",NA,2017,311,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Dungeness River - summer and winter Steelhead","Steelhead","Winter",NA,2019,467,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Dungeness River - summer and winter Steelhead","Steelhead","Winter",NA,2021,329,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Elwha River - winter Steelhead","Steelhead","Winter",NA,2013,290,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Elwha River - winter Steelhead","Steelhead","Winter",NA,2014,400,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Elwha River - winter Steelhead","Steelhead","Winter",NA,2015,190,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Elwha River - winter Steelhead","Steelhead","Winter",NA,2016,320,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Elwha River - winter Steelhead","Steelhead","Winter",NA,2017,375,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Elwha River - winter Steelhead","Steelhead","Winter",NA,2018,731,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Elwha River - winter Steelhead","Steelhead","Winter",NA,2019,947,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2007,444,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2008,722,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2009,289,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2010,761,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2011,297,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2012,265,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2013,699,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2014,593,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2015,1126,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2016,2035,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2017,616,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2018,1738,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2019,1950,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nisqually River - winter Steelhead","Steelhead","Winter",NA,2020,1257,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2010,1901,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2011,1774,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2012,1747,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2013,1805,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2014,1521,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2015,2082,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2016,1842,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2017,1714,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Nooksack River - winter Steelhead","Steelhead","Winter","Nooksack River",2018,2006,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2007,976,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2008,646,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2009,344,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2010,294,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2011,552,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2012,848,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2013,1036,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2014,676,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2015,1008,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2016,822,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2017,644,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2018,588,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2019,336,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2020,626,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Pilchuck River - winter Steelhead","Steelhead","Winter",NA,2021,316,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2007,494,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2008,432,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2009,434,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2010,697,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2011,1028,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2012,524,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2013,916,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2014,680,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2015,1876,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2016,1456,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2017,862,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","North Sound","Samish River and Bellingham Bay Tributaries - winter Steelhead","Steelhead","Winter",NA,2018,1232,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Skagit River - summer and winter Steelhead","Steelhead","Summer Winter",NA,2007,4242,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Skagit River - summer and winter Steelhead","Steelhead","Summer Winter",NA,2008,4887,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Skagit River - summer and winter Steelhead","Steelhead","Summer Winter",NA,2009,2502,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Skagit River - summer and winter Steelhead","Steelhead","Summer Winter",NA,2010,3981,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Skagit River - summer and winter Steelhead","Steelhead","Summer Winter",NA,2011,5462,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Skagit River - summer and winter Steelhead","Steelhead","Summer Winter",NA,2012,6185,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Skagit River - summer and winter Steelhead","Steelhead","Summer Winter",NA,2013,8727,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound steelhead","Puget Sound Steelhead DPS","Skagit River - summer and winter Steelhead","Steelhead","Summer Winter",NA,2014,9084,1,-99,-99,-99,-99,-99,-99,-99,-99
