"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Coweeman River - fall Chinook salmon",1999,0.241689717592137,48.499059749798,482.921414532033,4468.25459657324,1272533.89378246,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2000,0.605914689136601,62.7699165198408,494.984995251346,3412.48944622372,490666.229189269,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2001,1.38745289956027,83.1668302447799,499.742100022203,2718.83857458407,192611.874597058,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2002,3.22603431924334,108.31342857453,496.133244862577,2102.78288351314,74947.846438783,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2003,7.51819473025144,139.365402595379,500.868875849164,1655.34105939217,30189.4829102495,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2004,17.0476273815243,180.523081608297,502.443132675741,1344.51257844944,14620.214731237,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2005,33.7016751396742,224.869585308448,507.679206970194,1085.9134370386,6673.51648122731,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2006,60.6284016438192,268.533308249198,502.289070157057,928.97362977323,3704.33713133414,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2007,72.8613691793539,286.870945771891,504.087046070385,854.525272800338,2948.4322324733,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2008,104.956389217665,328.578675239685,515.869380836876,792.392245219853,2091.68179777904,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2009,173.554349682956,360.86559190348,511.606130715091,720.4353917662,1431.90450145507,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2010,288.400396917009,413.76042545468,502.527859503307,610.792679005071,913.803483535959,"Lower Columbia Chinook",413
"Coweeman River - fall Chinook salmon",2011,345.969703586402,490.996045245067,584.504986461291,694.949825377348,978.205342739117,"Lower Columbia Chinook",622
