"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Klickitat River - summer and winter Steelhead",1999,173.877881810967,677.444142652085,1292.97745694611,2630.38864802189,15036.0903853556,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2000,206.591702050363,748.065711066126,1386.38788129699,2742.69055521473,13998.9685732919,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2001,260.203865600542,882.459625019199,1602.20719913459,2986.98575065548,14018.849537723,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2002,349.190875829714,1064.6082762157,1883.8822371134,3370.10024712794,13951.6081797936,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2003,378.458413367714,1035.31200136709,1662.37148013955,2669.33626537926,8589.13852769386,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2004,359.612083111981,968.027431119886,1567.09632312102,2566.93944765913,6850.47710108018,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2005,567.786701496628,1183.65033996013,1726.59998434711,2487.11772222438,5790.53449656751,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2006,819.214140479753,1296.60466948402,1561.96315689892,1851.17949780339,2976.49516002009,"Mid-Columbia steelhead",1577
"Klickitat River - summer and winter Steelhead",2007,738.224774908578,1198.92331717871,1510.8679604276,1771.7265744124,2692.57313257215,"Mid-Columbia steelhead",1669
"Klickitat River - summer and winter Steelhead",2008,591.85510599981,1057.19275935063,1416.28833734193,1901.23609032286,3498.57288487324,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2009,524.012575543021,1011.23216078044,1342.28945486292,1807.42353796211,3244.19522696725,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2010,840.714359568757,1262.23570384358,1480.70610318362,1847.3180051748,2880.77525470475,"Mid-Columbia steelhead",1290
"Klickitat River - summer and winter Steelhead",2011,858.390923756028,1153.48699632695,1408.48041225293,1723.16717161745,2607.63294295732,"Mid-Columbia steelhead",1111
"Klickitat River - summer and winter Steelhead",2012,1019.11238997651,1525.01322474851,1835.39291662468,2254.81600010507,2843.21160144358,"Mid-Columbia steelhead",2483
"Klickitat River - summer and winter Steelhead",2013,816.811288803775,1098.8975368896,1309.4569288485,1599.3308491763,2403.84465220065,"Mid-Columbia steelhead",1063
"Klickitat River - summer and winter Steelhead",2014,856.480023254789,1172.76438693141,1355.71062439409,1659.02120329522,2482.52844668115,"Mid-Columbia steelhead",1222
"Klickitat River - summer and winter Steelhead",2015,1125.61186776587,1746.91209223974,2175.13678573768,2710.09477942781,3482.56360418986,"Mid-Columbia steelhead",2956
"Klickitat River - summer and winter Steelhead",2016,1099.27021947961,1804.10670553112,2298.81086055102,2905.3084405888,3860.88394924771,"Mid-Columbia steelhead",3270
