"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Cascade River - spring Chinook salmon",1999,92.4228068946695,149.009014824428,191.215656694683,244.695715222802,362.261865970051,"Puget Sound Chinook",83
"Cascade River - spring Chinook salmon",2000,160.87622628711,221.296103666222,260.573464630404,303.6790474417,407.898932662127,"Puget Sound Chinook",273
"Cascade River - spring Chinook salmon",2001,206.006774671232,280.221984139591,331.406223579191,392.255652206353,555.791897158295,"Puget Sound Chinook",625
"Cascade River - spring Chinook salmon",2002,216.011026497084,286.538935583872,332.034459275218,387.173277626252,534.633614545567,"Puget Sound Chinook",340
"Cascade River - spring Chinook salmon",2003,213.367094658338,285.158425163042,328.807909595463,381.945861810584,508.2621452944,"Puget Sound Chinook",298
"Cascade River - spring Chinook salmon",2004,233.166602805622,302.966275577143,350.544040654597,408.431428869712,543.910249084663,"Puget Sound Chinook",380
"Cascade River - spring Chinook salmon",2005,233.424684655363,307.753171887921,357.072502208537,413.677884207587,576.898388206637,"Puget Sound Chinook",420
"Cascade River - spring Chinook salmon",2006,236.691737223515,310.316959223082,361.362872886931,421.4729660064,580.023079287445,"Puget Sound Chinook",478
"Cascade River - spring Chinook salmon",2007,194.573335914646,263.78229205718,304.736824874578,352.883761873685,468.0745029231,"Puget Sound Chinook",223
"Cascade River - spring Chinook salmon",2008,205.680792935747,269.825938553624,310.896939791126,355.946983322364,471.426629599126,"Puget Sound Chinook",284
"Cascade River - spring Chinook salmon",2009,195.815596765454,257.489711896865,298.271742142029,342.316929060566,455.946996525554,"Puget Sound Chinook",338
"Cascade River - spring Chinook salmon",2010,194.111332560518,256.190319473633,294.925269623495,340.343260851486,451.678709174975,"Puget Sound Chinook",330
"Cascade River - spring Chinook salmon",2011,187.837398398466,247.982459792158,288.347236340203,330.348334585225,437.667618486791,"Puget Sound Chinook",265
"Cascade River - spring Chinook salmon",2012,208.97345475857,273.756001779775,319.254857507491,376.478403162412,520.364559701226,"Puget Sound Chinook",488
"Cascade River - spring Chinook salmon",2013,188.343077513548,247.584384461199,286.989273926102,330.253517134225,428.600368763416,"Puget Sound Chinook",310
"Cascade River - spring Chinook salmon",2014,157.984531058447,212.854108746404,249.946704203454,290.11648795592,383.380921883652,"Puget Sound Chinook",225
"Cascade River - spring Chinook salmon",2015,156.785545887921,213.418725580232,248.12356965877,287.46934957769,375.012455103899,"Puget Sound Chinook",188
"Cascade River - spring Chinook salmon",2016,172.10777716853,230.690805369844,266.535771265804,309.531591691969,415.538285571202,"Puget Sound Chinook",295
"Cascade River - spring Chinook salmon",2017,160.918153643837,220.059578681393,258.966596313527,302.159731876333,407.090410335506,"Puget Sound Chinook",323
"Cascade River - spring Chinook salmon",2018,119.124217703077,175.228071825489,213.417865518147,258.595142908854,364.898414455288,"Puget Sound Chinook",128
"Cascade River - spring Chinook salmon",2019,92.4884379318661,165.498665730977,212.481297847461,268.876112887186,423.258514141231,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2020,86.5991160739207,164.51329486604,217.819849517656,291.028024383799,500.012996953624,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2021,75.7641674801314,160.507490738261,223.249162530814,304.698863970644,582.465034140406,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2022,65.5848408997548,157.732213005464,226.233213307195,314.651873408489,669.571798544531,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",1999,226.85631223479,550.173893755759,821.263701814409,1174.69654786352,2547.00798536721,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2000,284.433734734714,596.569950537805,837.241286750839,1170.18812775276,2420.45631161208,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2001,315.614442443447,644.049463062473,878.304294936411,1197.52979876981,2345.80463410727,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2002,371.922719237515,684.520339700686,898.844079265086,1169.5599504204,2078.58743124091,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2003,425.089374289024,698.808205145368,885.912121767557,1119.53589082819,1784.00678912316,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2004,510.955981952956,740.634422342904,890.17513722703,1077.35111788371,1526.1630399271,"Puget Sound Chinook",842
"Cedar River - fall Chinook salmon",2005,537.435054678326,744.867194378351,879.088095579244,1041.30796284536,1419.95804662511,"Puget Sound Chinook",582
"Cedar River - fall Chinook salmon",2006,621.49625429643,846.711728915585,996.01371013288,1178.76732704226,1605.48366189608,"Puget Sound Chinook",1164
"Cedar River - fall Chinook salmon",2007,656.636540750111,871.172415993941,1025.62796482641,1223.40423780181,1759.73571909817,"Puget Sound Chinook",1893
"Cedar River - fall Chinook salmon",2008,633.071169333559,831.271535204837,972.609759382815,1136.79861172472,1576.68918673748,"Puget Sound Chinook",1346
"Cedar River - fall Chinook salmon",2009,484.697609025753,669.389488431262,783.109912880778,911.10306388666,1235.95193263779,"Puget Sound Chinook",577
"Cedar River - fall Chinook salmon",2010,461.630560786272,634.097649184432,745.803299417334,863.915484787449,1130.32323852575,"Puget Sound Chinook",542
"Cedar River - fall Chinook salmon",2011,473.160394290049,643.684477071528,750.179774347518,866.586663306052,1129.32074150512,"Puget Sound Chinook",646
