"ESU","ESU_DPS","COMMON_POPULATION_NAME","BROOD_YEAR","Smoothed.Abundance"
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",1999,482.921414532033
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2000,494.984995251346
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2001,499.742100022203
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2002,496.133244862577
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2003,500.868875849164
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2004,502.443132675741
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2005,507.679206970194
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2006,502.289070157057
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2007,504.087046070385
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2008,515.869380836876
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2009,511.606130715091
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2010,502.527859503307
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2011,584.504986461291
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2012,559.019670816214
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2013,1037.47310744017
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2014,837.901194759105
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2015,937.03673828015
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2016,582.600585455112
