"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Snake River - fall Chinook salmon",1992,495.745806877419,589.593827714825,621.019980940306,652.613731099057,779.374114489132,"Snake River fall Chinook",620
"Snake River - fall Chinook salmon",1993,567.772748752653,710.090586766094,759.379211339382,795.008453614312,899.464127869249,"Snake River fall Chinook",777
"Snake River - fall Chinook salmon",1994,405.618747103063,468.054385720892,488.483716466161,518.815031192581,633.389701422532,"Snake River fall Chinook",484
"Snake River - fall Chinook salmon",1995,339.230172084318,377.270784857334,394.924803794279,429.339549225598,562.762848711379,"Snake River fall Chinook",379
"Snake River - fall Chinook salmon",1996,611.270283116889,758.428365292112,815.561569603749,852.255561092586,971.083098144056,"Snake River fall Chinook",840
"Snake River - fall Chinook salmon",1997,641.636583352675,772.203283923042,815.879246798315,854.770671752549,1001.50431417125,"Snake River fall Chinook",821
"Snake River - fall Chinook salmon",1998,568.771010688951,626.762632265006,660.88377609813,727.925257838475,977.914675036778,"Snake River fall Chinook",627
"Snake River - fall Chinook salmon",1999,1360.20164719954,1615.06327952645,1706.60561290011,1785.85002218509,2078.79389577856,"Snake River fall Chinook",1722
"Snake River - fall Chinook salmon",2000,2531.76325404625,3167.27363480725,3349.7052383078,3489.98244819803,4036.71368115561,"Snake River fall Chinook",3388
"Snake River - fall Chinook salmon",2001,3892.43560970334,5079.07231406305,5477.15375067551,5728.43966626762,6405.93440600294,"Snake River fall Chinook",5681
"Snake River - fall Chinook salmon",2002,3206.74582803034,3596.58157484201,3762.6850274043,4069.50032969689,5099.82874373894,"Snake River fall Chinook",3622
"Snake River - fall Chinook salmon",2003,5149.80022260943,6312.94623444528,6727.73400611304,7006.44603608354,8171.82401636748,"Snake River fall Chinook",6835
"Snake River - fall Chinook salmon",2004,5862.94588290021,7400.82884009665,7859.31130414168,8189.71155581191,9430.02004336029,"Snake River fall Chinook",8002
"Snake River - fall Chinook salmon",2005,4881.26946707103,5806.41911595349,6112.62529415278,6455.72373276226,7676.78101042794,"Snake River fall Chinook",6088
"Snake River - fall Chinook salmon",2006,4619.01254612546,5537.01154540954,5859.61194394929,6128.1141415834,7144.56356684266,"Snake River fall Chinook",5909
"Snake River - fall Chinook salmon",2007,3749.85851858167,4287.004382797,4471.50280871821,4756.67453498014,5791.52411822399,"Snake River fall Chinook",4416
"Snake River - fall Chinook salmon",2008,3812.70404320596,4426.01329856484,4617.33469435463,4900.55054065606,5976.0218539206,"Snake River fall Chinook",4589
"Snake River - fall Chinook salmon",2009,4800.60991591167,5521.82285299447,5768.24917922278,6099.16397073555,7363.6386758168,"Snake River fall Chinook",5717
"Snake River - fall Chinook salmon",2010,6858.22354504812,8122.53147311829,8527.80366937903,8982.5292993542,10540.8811088283,"Snake River fall Chinook",8520
"Snake River - fall Chinook salmon",2011,10192.3612047797,12208.4258449875,12879.3477447348,13472.6714148058,15540.5132648236,"Snake River fall Chinook",12932
"Snake River - fall Chinook salmon",2012,13343.6006192195,15780.388240181,16522.895094047,17413.3813518372,20442.9684362516,"Snake River fall Chinook",16447
"Snake River - fall Chinook salmon",2013,18770.3488471009,24184.8469033277,26124.4774502627,27377.138852336,30345.1900281564,"Snake River fall Chinook",27166
"Snake River - fall Chinook salmon",2014,14177.3819586871,16408.4880641917,17133.0119062013,18171.8101494599,21725.8409084532,"Snake River fall Chinook",16965
"Snake River - fall Chinook salmon",2015,13165.557609514,16146.6584985944,17276.4694946426,17999.7548515451,20538.9203542129,"Snake River fall Chinook",17575
"Snake River - fall Chinook salmon",2016,8876.18512646754,10347.641564152,10861.9728773417,11431.6378286262,13357.8501581564,"Snake River fall Chinook",10806
"Snake River - fall Chinook salmon",2017,6285.68759170589,7292.46279931901,7636.6506961883,8095.64898545596,9851.44259265883,"Snake River fall Chinook",7571
"Snake River - fall Chinook salmon",2018,5360.7867065592,6173.72962170276,6437.11737675112,6853.70286297906,8522.69897810223,"Snake River fall Chinook",6363
"Snake River - fall Chinook salmon",2019,5999.97871036339,7111.13258971455,7493.0929189156,7874.92720231033,9393.9117581318,"Snake River fall Chinook",7500
"Snake River - fall Chinook salmon",2020,6991.24029730928,8209.05415630976,8677.84559421306,9086.84782040337,10531.8452731641,"Snake River fall Chinook",8741
"Snake River - fall Chinook salmon",2021,6466.77058490966,7641.90083003033,7999.58292507915,8464.05859024233,10254.6790484495,"Snake River fall Chinook",7957
"Snake River - fall Chinook salmon",2022,3736.39964321523,6577.71696790571,8774.41740881111,11583.739027087,20813.9794549539,"Snake River fall Chinook",NA
