"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",1999,2470,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2000,8281,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2001,7204,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2002,6859,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2003,27335,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2004,60374,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2005,11348,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2006,21389,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2007,9376,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2008,13573,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2009,6570,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2010,11294,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2011,6568,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2012,26501,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2013,19965,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2014,26830,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2015,31294,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2016,47366,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2017,53470,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2018,12201,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2019,7435,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2020,8478,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2021,16949,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2022,31277,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Hood Canal - summer chum salmon","Chum salmon","Summer","Hood Canal",2023,18532,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",1999,155,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2000,507,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2001,1473,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2002,4220,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2003,4281,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2004,5671,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2005,5999,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2006,6372,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2007,3011,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2008,3011,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2009,2659,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2010,5923,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2011,4059,1,-99,-99,-99,-99,-99,-99,-99,-99
"Hood Canal summer chum","Hood Canal","Strait of Juan de Fuca - summer chum salmon","Chum salmon","Summer","Strait of Juan de Fuca tributaries",2012,4975,1,-99,-99,-99,-99,-99,-99,-99,-99
