"ESU_DPS","COMMONPOPNAME2","SPAWNINGYEAR","SASI_STOCK_NUM","SASISTOCKNAME","COMMONNAME","RUN","RECOVERYDOMAIN","MAJORPOPGROUP","POPID","ESAPOPNAME","COMMONPOPNAME","POPFIT","POPFITNOTES","ESTIMATETYPE","WATERBODY","METHODNUMBER","BESTVALUE","NOSAIJ","NOSAIJ_SDSID","NOSAIJLOWERLIMIT","NOSAIJUPPERLIMIT","NOSAIJALPHA","NOSAEJ","NOSAEJ_SDSID","NOSAEJLOWERLIMIT","NOSAEJUPPERLIMIT","NOSAEJALPHA","PHOSIJ","PHOSIJLOWERLIMIT","PHOSIJUPPERLIMIT","PHOSIJALPHA","PHOSEJ","PHOSEJLOWERLIMIT","PHOSEJUPPERLIMIT","PHOSEJALPHA","TSAIJ","TSAIJ_SDSID","TSAIJLOWERLIMIT","TSAIJUPPERLIMIT","TSAIJALPHA","TSAEJ","TSAEJ_SDSID","TSAEJLOWERLIMIT","TSAEJUPPERLIMIT","TSAEJALPHA","AGE2PROP","AGE2PROPLOWERLIMIT","AGE2PROPUPPERLIMIT","AGE3PROP","AGE3PROPLOWERLIMIT","AGE3PROPUPPERLIMIT","AGE4PROP","AGE4PROPLOWERLIMIT","AGE4PROPUPPERLIMIT","AGE5PROP","AGE5PROPLOWERLIMIT","AGE5PROPUPPERLIMIT","AGE6PROP","AGE6PROPLOWERLIMIT","AGE6PROPUPPERLIMIT","AGE7PROP","AGE7PROPLOWERLIMIT","AGE7PROPUPPERLIMIT","AGE8PROP","AGE8PROPLOWERLIMIT","AGE8PROPUPPERLIMIT","AGE9PROP","AGE9PROPLOWERLIMIT","AGE9PROPUPPERLIMIT","AGE10PROP","AGE10PROPLOWERLIMIT","AGE10PROPUPPERLIMIT","AGE11PLUSPROP","AGE11PLUSPROPLOWERLIMIT","AGE11PLUSPROPUPPERLIMIT","AGEPROPALPHA","OTHERDATASOURCES","COMMENTS","DATASTATUS","STOCK_ID","ESU_DPS_COMMONNAME","USECA","Notes","final_abundance_data_type","final_abundance","datasource","dsid"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2010,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,436,"f8b2489f-ea1a-49dd-a9b6-533244f41749",326,572,0.05,NA,NA,NA,NA,0.29,0.201,0.389,0.05,NA,NA,NA,NA,NA,615,"5f733115-7a97-4981-951c-60ade44de115",479,783,0.05,NA,NA,NA,0.256,0.156,0.374,0.614,0.488,0.735,0.129,0.056,0.224,0.002,0,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",436,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2011,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,579,"f8b2489f-ea1a-49dd-a9b6-533244f41749",507,665,0.05,NA,NA,NA,NA,0.116,0.073,0.17,0.05,NA,NA,NA,NA,NA,655,"5f733115-7a97-4981-951c-60ade44de115",570,759,0.05,NA,NA,NA,0.125,0.093,0.161,0.72,0.658,0.775,0.153,0.104,0.217,0.001,0,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",579,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2012,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,425,"f8b2489f-ea1a-49dd-a9b6-533244f41749",340,547,0.05,NA,NA,NA,NA,0.114,0.064,0.182,0.05,NA,NA,NA,NA,NA,481,"5f733115-7a97-4981-951c-60ade44de115",382,627,0.05,NA,NA,NA,0.573,0.497,0.645,0.263,0.202,0.333,0.163,0.115,0.219,0.006,0,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",425,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2013,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,1464,"f8b2489f-ea1a-49dd-a9b6-533244f41749",829,2383,0.05,NA,NA,NA,NA,0.322,0.286,0.36,0.05,NA,NA,NA,NA,NA,2160,"5f733115-7a97-4981-951c-60ade44de115",1231,3498,0.05,NA,NA,NA,0.006,0.001,0.014,0.272,0.232,0.316,0.717,0.673,0.758,0.005,0.001,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",1464,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2014,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,774,"f8b2489f-ea1a-49dd-a9b6-533244f41749",694,881,0.05,NA,NA,NA,NA,0.041,0.023,0.067,0.05,NA,NA,NA,NA,NA,808,"5f733115-7a97-4981-951c-60ade44de115",720,924,0.05,NA,NA,NA,0.239,0.204,0.276,0.635,0.594,0.674,0.126,0.1,0.154,0,0,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",774,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2015,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,1331,"f8b2489f-ea1a-49dd-a9b6-533244f41749",1275,1408,0.05,NA,NA,NA,NA,0.018,0.008,0.037,0.05,NA,NA,NA,NA,NA,1357,"5f733115-7a97-4981-951c-60ade44de115",1296,1442,0.05,NA,NA,NA,0.277,0.249,0.304,0.617,0.585,0.648,0.106,0.086,0.13,0.001,0,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",1331,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2016,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,361,"f8b2489f-ea1a-49dd-a9b6-533244f41749",197,633,0.05,NA,NA,NA,NA,0.024,0.005,0.091,0.05,NA,NA,NA,NA,NA,372,"5f733115-7a97-4981-951c-60ade44de115",203,650,0.05,NA,NA,NA,0.029,0.001,0.109,0.256,0.12,0.426,0.513,0.335,0.689,0.202,0.082,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",361,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2017,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,759,"f8b2489f-ea1a-49dd-a9b6-533244f41749",694,840,0.05,NA,NA,NA,NA,0.077,0.05,0.114,0.05,NA,NA,NA,NA,NA,824,"5f733115-7a97-4981-951c-60ade44de115",753,910,0.05,NA,NA,NA,0.226,0.189,0.267,0.698,0.653,0.74,0.075,0.051,0.105,0.001,0,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",759,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2018,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,229,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",208,261,0.05,NA,NA,NA,NA,0.05,0.021,0.102,0.05,NA,NA,NA,NA,NA,242,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",220,276,0.05,NA,NA,NA,0.209,0.153,0.269,0.611,0.542,0.68,0.179,0.128,0.237,0.001,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",229,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2019,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,312,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",267,379,0.05,NA,NA,NA,NA,0.041,0.013,0.108,0.05,NA,NA,NA,NA,NA,328,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",281,397,0.05,NA,NA,NA,0.645,0.568,0.715,0.308,0.241,0.382,0.045,0.019,0.088,0.002,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",312,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
