"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Coweeman River - fall Chinook salmon",1999,1.58787103164351,73.1261134997908,548.568261400213,4052.02013884346,202778.335799438,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2000,2.2385055323669,88.5727329924049,532.019583187733,3512.97784657952,132660.706367744,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2001,3.48955598967728,95.140281987012,517.32433668763,3007.67228467345,86374.3306311932,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2002,4.54672606950555,106.901087445726,530.533688232548,2610.89670291888,60813.4705410127,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2003,8.60681187444583,123.453395907611,528.883624287072,2338.00573243891,35921.1083741852,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2004,14.0277459312042,145.559120653578,530.873268776695,1880.00755870539,19283.568781283,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2005,22.5352735158599,184.467150658504,547.042690133275,1624.00394624585,12209.8343802956,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2006,44.9241557485139,233.741411551648,545.590462083089,1228.12264517877,6198.18901451881,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2007,141.187340011207,349.781839435887,548.76716934984,854.01132430572,2053.08719519148,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2008,132.801180918756,370.876669985743,549.856326722189,795.190057294471,1798.15066764206,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2009,175.658708037431,415.387636378572,574.382123334568,793.723504193714,1458.47931903136,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2010,308.301011302377,433.290937169154,516.487647654365,624.479383295025,910.216441812114,"Lower Columbia Chinook",436
"Coweeman River - fall Chinook salmon",2011,347.884985040039,482.02126891443,567.557134852931,664.291150620143,899.175797825935,"Lower Columbia Chinook",579
"Coweeman River - fall Chinook salmon",2012,310.962537249307,424.88148081723,501.803567455924,594.776265627103,851.687135716502,"Lower Columbia Chinook",425
"Coweeman River - fall Chinook salmon",2013,569.25669658187,822.979658739888,1002.83886352326,1191.1437488243,1649.48835108319,"Lower Columbia Chinook",1464
"Coweeman River - fall Chinook salmon",2014,512.201978832817,702.042562441143,816.523322354936,947.755244130511,1275.08236209412,"Lower Columbia Chinook",774
"Coweeman River - fall Chinook salmon",2015,535.643615666503,771.486937148221,926.68460743604,1106.04943209628,1604.43170789862,"Lower Columbia Chinook",1331
"Coweeman River - fall Chinook salmon",2016,343.513659040787,469.58375427507,547.390230350226,644.905303602235,875.500588517059,"Lower Columbia Chinook",361
"Coweeman River - fall Chinook salmon",2017,341.066447410717,465.67975887264,544.005399308128,631.578414276358,861.938894649616,"Lower Columbia Chinook",759
"Coweeman River - fall Chinook salmon",2018,183.773567832165,249.652106716303,300.478689166719,371.14921983047,571.425314149901,"Lower Columbia Chinook",229
"Coweeman River - fall Chinook salmon",2019,235.717563472778,319.96134188624,376.573645506487,447.613258323468,617.260451240766,"Lower Columbia Chinook",312
"Coweeman River - fall Chinook salmon",2020,390.528976466649,556.163814801192,663.092200368258,786.144400099539,1096.33474465736,"Lower Columbia Chinook",879
"Coweeman River - fall Chinook salmon",2021,351.341012886379,486.5966674012,567.478381271748,661.265795638044,885.595305268241,"Lower Columbia Chinook",596
"Coweeman River - fall Chinook salmon",2022,305.526013396719,406.665304645923,474.85452588186,552.029697610888,754.525236828275,"Lower Columbia Chinook",443
"Coweeman River - fall Chinook salmon",2023,286.194892936822,404.768264607287,477.310118532587,572.478795357666,826.110232168396,"Lower Columbia Chinook",440
"Coweeman River - fall Chinook salmon",2024,59.9717391867109,229.054341975899,473.852687053122,946.170341301797,3590.73747498389,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",1999,0.714546943829357,31.7591900513322,219.163327845393,1581.74504244781,74409.6529940395,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2000,0.995648553592272,33.0841006986886,212.078561340254,1459.78124695676,55775.0921380927,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2001,1.44486327483725,36.4763051595608,210.925142938157,1278.86140517551,38699.8721775755,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2002,2.1446534059766,42.0438853572863,209.711801146662,1046.9333037282,23769.8582751143,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2003,3.54685094712193,50.2459799971138,212.982266517678,861.618835655305,13230.117687577,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2004,5.84548675476931,57.8108373615317,204.524484242135,735.05737722928,8150.59795788981,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2005,9.49710793364669,70.8104316988378,205.628682921224,596.617445293064,4823.23551893049,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2006,19.2718880228856,94.6913358243946,210.314763046249,469.674835284121,2225.85495096865,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2007,56.9364057442495,134.589017172481,205.660067874295,319.878121803508,786.802759947031,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2008,73.1920670468113,146.421103564728,203.398697580454,297.02443600346,578.091519733979,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2009,113.993714650544,182.230488691474,224.857451207801,266.372918967216,374.639887853278,"Lower Columbia Chinook",268
"Elochoman River - fall Chinook salmon",2010,86.8932896782036,124.360501923105,147.825526986588,173.324067198082,236.717878607164,"Lower Columbia Chinook",167
"Elochoman River - fall Chinook salmon",2011,48.4998403398504,67.3894968018015,79.1287705054887,93.1663235742028,131.121087864017,"Lower Columbia Chinook",73
"Elochoman River - fall Chinook salmon",2012,28.8527309532301,39.51510363091,47.7064492715965,59.6177983520998,96.8393939803214,"Lower Columbia Chinook",36
"Elochoman River - fall Chinook salmon",2013,56.1503377852281,75.5207929736719,89.0498610770446,106.476829350576,146.446958097763,"Lower Columbia Chinook",70
"Elochoman River - fall Chinook salmon",2014,78.8614095522592,111.594643208547,132.47350884217,157.004913542966,207.7886580344,"Lower Columbia Chinook",168
"Elochoman River - fall Chinook salmon",2015,89.6460918251146,133.37324040437,162.146746471371,193.366264797473,266.706683700114,"Lower Columbia Chinook",222
"Elochoman River - fall Chinook salmon",2016,57.329415478703,77.7601251299611,90.9680141841327,106.555059338453,147.521584663131,"Lower Columbia Chinook",77
"Elochoman River - fall Chinook salmon",2017,44.514223867317,61.3712285802291,71.0581915201147,81.6973541024279,113.240341846493,"Lower Columbia Chinook",74
"Elochoman River - fall Chinook salmon",2018,22.9455184249204,31.923279096624,38.1180257474252,46.0643771524135,73.9363161958763,"Lower Columbia Chinook",34
"Elochoman River - fall Chinook salmon",2019,30.3110367209986,41.0582807262777,48.544763498645,58.4239997730356,86.6438245844271,"Lower Columbia Chinook",39
"Elochoman River - fall Chinook salmon",2020,53.1292629620913,73.260132532176,86.1404148232459,101.383980864234,138.897181320023,"Lower Columbia Chinook",86
"Elochoman River - fall Chinook salmon",2021,65.1725967679783,87.297006532207,101.648099271733,118.141362151821,156.909437472843,"Lower Columbia Chinook",103
"Elochoman River - fall Chinook salmon",2022,74.3773323697825,102.297891192388,118.974655228373,139.330071387412,191.76590797974,"Lower Columbia Chinook",118
"Elochoman River - fall Chinook salmon",2023,97.9511138956953,153.304783672735,186.525198271056,222.489288365036,319.559823095439,"Lower Columbia Chinook",224
"Elochoman River - fall Chinook salmon",2024,24.0497152291694,94.461081523735,186.71327237617,368.134330833469,1303.7523634113,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",1999,0.228962392405614,11.1532530499312,84.8714864400897,601.600252832382,26969.697536128,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2000,0.348012378934618,12.4754851495098,85.8003517442161,536.2801861533,17507.4085081053,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2001,0.534998876785689,14.8708419385349,83.2482941369385,447.910063498433,12135.0436190433,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2002,0.813653622829517,16.2557027090774,82.2915657005533,375.090285455538,7915.29331633694,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2003,1.41469457499744,19.6283818085723,83.4894582829602,346.303285384291,5187.81678232391,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2004,2.20116335071633,23.9361011044832,79.8674809420886,281.463021288346,2769.87135752469,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2005,3.86401370543196,28.8309352349205,77.3424101909815,217.237810163448,1467.15659955058,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2006,8.50919015783358,35.8537804173585,78.6861932671216,171.208048891598,709.057548418426,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2007,28.7468014403028,56.5447212002057,80.0768320488017,112.55533084542,212.018039658895,"Lower Columbia Chinook",NA
"Grays and Chinook Rivers - fall Chinook salmon",2008,44.7154802268705,65.2083385980157,79.8113441693695,98.7243505905588,150.785909783807,"Lower Columbia Chinook",63
"Grays and Chinook Rivers - fall Chinook salmon",2009,57.6029628258522,89.0433415339149,112.187418380647,141.151693084258,204.190802629525,"Lower Columbia Chinook",190
"Grays and Chinook Rivers - fall Chinook salmon",2010,46.0854881406844,63.6467485756787,76.1738569929281,90.3505521640872,129.868729821061,"Lower Columbia Chinook",62
"Grays and Chinook Rivers - fall Chinook salmon",2011,39.2191089018484,56.2993033265396,67.4253914631991,80.3365940950563,116.751876264902,"Lower Columbia Chinook",69
"Grays and Chinook Rivers - fall Chinook salmon",2012,24.321033406012,38.3601452669519,51.1033231827152,66.9462053919748,105.527870891469,"Lower Columbia Chinook",24
"Grays and Chinook Rivers - fall Chinook salmon",2013,64.7324455953094,94.3504332312621,113.64811143947,141.271145188936,202.920181159576,"Lower Columbia Chinook",176
"Grays and Chinook Rivers - fall Chinook salmon",2014,75.7737997697806,106.446637168136,126.177288527183,150.589361356464,210.021906016595,"Lower Columbia Chinook",153
