"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2006,1577,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2007,1669,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2010,1290,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2011,1111,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2012,2483,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2013,1063,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2014,1222,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2015,2956,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2016,3270,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2017,544,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2018,1785,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2019,1025,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2020,1009,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2021,2991,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2022,763,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2023,835,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Cascades Eastern Slope Tributaries","Klickitat River - summer and winter Steelhead","Steelhead","Summer Winter","Klickitat River",2024,457,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",1999,329,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2000,507,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2001,983,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2002,1454,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2003,709,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2004,886,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2005,1092,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2006,646,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2007,492,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2008,976,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2009,1114,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2010,2138,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2011,1963,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2012,2203,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2013,1683,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2014,1506,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2015,1785,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2016,1409,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2017,577,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2018,492,1,-99,-99,-99,-99,-99,-99,-99,-99
"Mid-Columbia steelhead","Yakima River Group","Naches River - summer Steelhead","Steelhead","Summer","Yakima River",2019,306,1,-99,-99,-99,-99,-99,-99,-99,-99
