"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",1999,2620,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2000,4851,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2001,4077,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2002,3820,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2003,4876,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2004,1779,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2005,1721,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2006,2075,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2007,748,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2008,2151,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2009,4769,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2010,2986,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2011,2457,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2012,0,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2013,2650,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2014,5097,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2015,6638,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2016,12829,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2017,5265,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2018,3264,1,-99,-99,-99,-99,-99,-99,-99,-99
"Ozette Lake sockeye","Ozette Lake","Ozette Lake - sockeye salmon","Sockeye salmon","Unspecified","Lake Ozette",2019,2894,1,-99,-99,-99,-99,-99,-99,-99,-99
