"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Ozette Lake - sockeye salmon",1999,517.586884388871,1543.39610380246,2597.78731846621,4450.65906749294,13839.2039879125,"Ozette Lake sockeye",2620
"Ozette Lake - sockeye salmon",2000,575.500075530523,1622.97459823262,2608.39204441477,4288.53891795053,12472.6043015834,"Ozette Lake sockeye",4851
"Ozette Lake - sockeye salmon",2001,636.723599771609,1659.68362653672,2604.16459070403,4119.73681431489,11661.4048925069,"Ozette Lake sockeye",4077
"Ozette Lake - sockeye salmon",2002,687.739036507013,1660.89224247592,2519.67007634814,3924.23626308414,10318.696607017,"Ozette Lake sockeye",3820
"Ozette Lake - sockeye salmon",2003,690.036509568657,1632.11204569769,2455.24031325768,3681.75032221357,9272.72844726095,"Ozette Lake sockeye",4876
"Ozette Lake - sockeye salmon",2004,667.689581613303,1580.14478656988,2289.38867144209,3417.67502706979,8137.14744119691,"Ozette Lake sockeye",1779
"Ozette Lake - sockeye salmon",2005,648.221093712446,1517.01461412326,2233.06408238705,3237.56587243465,7170.41113701498,"Ozette Lake sockeye",1721
"Ozette Lake - sockeye salmon",2006,614.243613565184,1508.20658857528,2142.18632275396,3096.44350533728,7193.70351373314,"Ozette Lake sockeye",2075
"Ozette Lake - sockeye salmon",2007,540.570309359051,1446.75711830627,2071.85473612868,2976.70524393318,6383.03824587642,"Ozette Lake sockeye",748
"Ozette Lake - sockeye salmon",2008,621.368604048532,1467.69292353318,2086.0314385163,2992.71401225484,6287.03468704895,"Ozette Lake sockeye",2151
"Ozette Lake - sockeye salmon",2009,604.520873623627,1450.21031901748,2063.54508219629,2961.47890084093,6384.95589839039,"Ozette Lake sockeye",4769
"Ozette Lake - sockeye salmon",2010,558.382002417764,1358.52700432671,1990.44356252948,2815.75050841376,5940.24126203094,"Ozette Lake sockeye",2986
"Ozette Lake - sockeye salmon",2011,387.325540087741,1221.45750615075,1832.21693207799,2647.94799579911,5439.12858191071,"Ozette Lake sockeye",2457
"Ozette Lake - sockeye salmon",2012,120.662190557178,1047.75738147888,1676.6068757243,2564.54243645337,5559.8087325158,"Ozette Lake sockeye",0
"Ozette Lake - sockeye salmon",2013,438.723740540909,1236.7572348539,1892.22081800586,2849.22051482028,6437.75628550156,"Ozette Lake sockeye",2650
"Ozette Lake - sockeye salmon",2014,596.288706599665,1429.37089960214,2170.62294400169,3253.37681097559,8389.15675396856,"Ozette Lake sockeye",5097
"Ozette Lake - sockeye salmon",2015,651.40614224832,1541.68790281338,2388.19620027827,3747.71176058978,10861.8724114712,"Ozette Lake sockeye",6638
"Ozette Lake - sockeye salmon",2016,656.518839744315,1599.75678733246,2570.4900049196,4228.99734008578,13264.721945991,"Ozette Lake sockeye",12829
"Ozette Lake - sockeye salmon",2017,605.860947862941,1570.45157021789,2606.85107446812,4414.62882733624,13700.2669968802,"Ozette Lake sockeye",5265
"Ozette Lake - sockeye salmon",2018,521.127548845927,1507.35288446406,2592.29574626132,4464.94767258758,13784.7523985457,"Ozette Lake sockeye",3264
"Ozette Lake - sockeye salmon",2019,423.880702076309,1408.9049819353,2522.09225591083,4554.81590351403,15837.8066642427,"Ozette Lake sockeye",2894
"Ozette Lake - sockeye salmon",2020,334.063639456469,1292.85951873284,2463.52331225194,4870.73525499445,21570.1693198581,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2021,258.588543575659,1216.03729710037,2507.29316019922,5183.58595444316,30416.8322854523,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2022,210.072398929709,1158.65974913777,2499.54291290554,5588.72827862564,40590.4190956604,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2023,167.56534490617,1086.68647591482,2503.60574054439,6047.35499364093,48467.3304696081,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2024,146.439054582549,1018.21001857142,2487.03727170544,6541.05979136332,64590.0447542391,"Ozette Lake sockeye",NA
