"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2000,27093,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2001,94579,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2002,69296,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2003,172345,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2004,146872,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2005,38066,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2006,13574,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2007,46640,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2008,11696,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2009,27580,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2010,4553,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2011,25192,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2012,52415,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2013,16156,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2014,22371,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2015,26576,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2016,19439,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2017,18737,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2018,7128,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2019,7665,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2020,16268,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2021,34039,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Hood Canal - fall Coho Salmon","Coho salmon","Fall",NA,2022,7830,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2000,58100,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2001,80442,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2002,41548,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2003,72710,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2004,136054,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2005,24830,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2006,7586,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2007,48593,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2008,20887,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2009,74466,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2010,31279,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2011,41061,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2012,92687,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2013,84479,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2014,24820,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2015,5794,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2016,35823,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2017,17957,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2018,18657,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2019,14246,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2020,23808,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2021,75532,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2022,92306,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Skagit River - fall Coho Salmon","Coho salmon","Fall",NA,2023,54443,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2000,94210,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2001,261647,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2002,161567,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2003,182714,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2004,252931,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2005,109143,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2006,75848,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2007,118594,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2008,35537,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2009,99033,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2010,49239,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2011,111524,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2012,130859,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2013,126190,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2014,46620,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2015,12987,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2016,44416,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2017,18362,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2018,57226,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2019,39902,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2020,41669,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2021,96886,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2022,83148,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Snohomish River - fall Coho Salmon","Coho salmon","Fall",NA,2023,62742,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Stillaguamish River - fall Coho Salmon","Coho salmon","Fall",NA,2000,28293,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound/Strait of Georgia Coho",NA,"Stillaguamish River - fall Coho Salmon","Coho salmon","Fall",NA,2001,74773,1,-99,-99,-99,-99,-99,-99,-99,-99
