"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"eps[1,1]",0.377953931270541,0.0170470188675117,0.783594713618285,-1.23499981786284,-0.131100803339552,0.399474941247066,0.902483337870271,1.85784930894133,2112.93487412593,1.00111707165936
"eps[1,2]",-0.406622906802404,0.0147442847395081,0.868952556732129,-2.09496587915563,-0.991306227646423,-0.412140336804687,0.163974541643766,1.373305774373,3473.31932054654,0.999784090267755
"eps[2,1]",-0.737581265046616,0.0121096256972652,0.729044276004236,-2.13138088156178,-1.23855079784691,-0.763050844486014,-0.24669439085651,0.718290186458429,3624.48552763369,0.999394247587041
"eps[2,2]",-0.643796165044354,0.0118679892282408,0.81864413041847,-2.2252529282126,-1.18295497020303,-0.657530049421901,-0.120804964418091,1.02229018705432,4758.12686900794,1.00042767923779
"eps[3,1]",-0.383350212152146,0.0121504626691395,0.69897576273921,-1.77158030699757,-0.84177177345842,-0.366381059518399,0.079054870161707,1.00677997545006,3309.31876902602,1.00045280517573
"eps[3,2]",-0.669746602378118,0.0164936250001599,0.818714206702773,-2.19662208783044,-1.22647544281884,-0.687635549373654,-0.146968627141254,0.98415476784576,2463.95300724063,0.999361609964116
"eps[4,1]",0.443406691106113,0.0131979378441623,0.738523066557179,-1.03847317994251,-0.028179551053635,0.461915486962185,0.946609334464314,1.84990947484782,3131.23722416362,0.999821758801691
"eps[4,2]",0.231986254431309,0.0272186123184871,0.908188657768107,-1.60939118502302,-0.382166449953835,0.27180768067117,0.880630718629022,1.88614570451308,1113.32045333018,1.00301291784705
"eps[5,1]",0.239989153969298,0.0126199060544829,0.72262839214788,-1.23096398310852,-0.216415335831056,0.254397026380065,0.72055353002752,1.63846538171354,3278.82168144037,1.00045866798954
"eps[5,2]",-0.44041191455621,0.0138538150536931,0.866357205622955,-2.15775008105069,-0.998848551283604,-0.45747781645727,0.101832997591636,1.3505326480778,3910.70640381053,1.00033922804207
"eps[6,1]",-0.298881393692821,0.0128536993314664,0.724364539526501,-1.69813248284566,-0.79426770064907,-0.314299972215002,0.177517244682865,1.17482780918038,3175.83616385513,0.999753985024754
"eps[6,2]",-0.530462449180006,0.0127475722240593,0.844225674119924,-2.1966366324194,-1.07957835985318,-0.525561159856283,0.016454293507018,1.12898314099803,4385.93457092537,0.999961796162865
"eps[7,1]",-0.300765168290517,0.0165063585584064,0.778670401250062,-1.80814259382893,-0.825870149023765,-0.307383372806933,0.20876618025712,1.24083327733191,2225.38309007224,1.00169871546829
"eps[7,2]",-0.912561987995344,0.036516136302624,0.962126509902678,-2.75683981741596,-1.58381940177913,-0.918483903239356,-0.264861409745688,1.06526476220316,694.216166860583,1.00549272860541
"eps[8,1]",1.46849860956505,0.0149747574901386,0.789300990372316,-0.0684188231828384,0.947459854350221,1.45448021628649,1.98839326028877,3.02417798178955,2778.21402674383,1.00026531540099
"eps[8,2]",1.09743735505387,0.0357917375423429,1.00603207983566,-0.927584886041896,0.417286095570337,1.14752320290987,1.81037249514531,2.93298041660179,790.056398631925,1.001321455578
