"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2011,1739,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2012,1915,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2013,1788,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2014,2036,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2015,3212,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2016,1914,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2017,615,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2018,750,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek                                      ",2019,478,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek and Tributaries",2020,523,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek and Tributaries",2021,739,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek and Tributaries",2022,280,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Joseph Creek - summer Steelhead","Steelhead","Summer","Joseph Creek and Tributaries",2023,333,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2010,1362,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2011,1067,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2012,1210,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2013,626,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2014,733,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2015,1164,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2016,884,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2017,370,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2018,596,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2019,337,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2020,433,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2021,417,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2022,316,1,-99,-99,-99,-99,-99,-99,-99,-99
"Snake River steelhead","Lower Snake","Tucannon River - summer Steelhead","Steelhead","Summer","Tucannon River",2023,481,1,-99,-99,-99,-99,-99,-99,-99,-99
