"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Entiat River - spring Chinook salmon",1999,19.6840755768974,26.9325305788425,31.3028787104984,36.9934368052324,51.8629831395963,"Upper Columbia spring Chinook",29
"Entiat River - spring Chinook salmon",2000,54.6830031890541,73.0853782783242,83.3797261512413,96.0522376011192,127.384005298071,"Upper Columbia spring Chinook",73
"Entiat River - spring Chinook salmon",2001,128.277670401007,172.281685672983,199.161533615337,228.313283022002,300.999131122552,"Upper Columbia spring Chinook",226
"Entiat River - spring Chinook salmon",2002,113.922787887316,145.190345278618,164.92731828129,187.792651971715,246.304354812715,"Upper Columbia spring Chinook",152
"Entiat River - spring Chinook salmon",2003,88.1767981866361,121.112456647376,140.757399217531,162.26251169996,215.100453101543,"Upper Columbia spring Chinook",199
"Entiat River - spring Chinook salmon",2004,91.4809644513707,118.906908133051,137.053996973744,157.120521947838,208.179939480216,"Upper Columbia spring Chinook",102
"Entiat River - spring Chinook salmon",2005,62.9163916910368,81.1107630958235,93.3611428061361,106.880404229552,140.111554062697,"Upper Columbia spring Chinook",111
"Entiat River - spring Chinook salmon",2006,51.2762591793472,66.5951851423865,76.3395381059432,86.9576723768482,113.989924178699,"Upper Columbia spring Chinook",68
"Entiat River - spring Chinook salmon",2007,59.7874012672967,78.3419917015071,89.6190264749572,101.734366406239,130.41791832187,"Upper Columbia spring Chinook",83
"Entiat River - spring Chinook salmon",2008,66.8813911861076,85.529012534332,97.5774151377003,110.936006569895,144.87085271211,"Upper Columbia spring Chinook",105
"Entiat River - spring Chinook salmon",2009,84.1715714880539,107.492610647543,122.531365264937,140.569827893842,183.81862746211,"Upper Columbia spring Chinook",95
"Entiat River - spring Chinook salmon",2010,117.316867474839,162.053421356367,190.698863537203,222.116577104884,284.723339888741,"Upper Columbia spring Chinook",259
"Entiat River - spring Chinook salmon",2011,175.329249033369,230.727687662859,266.881419665198,306.155920992797,398.580300409923,"Upper Columbia spring Chinook",273
"Entiat River - spring Chinook salmon",2012,149.960013296775,195.338000720194,222.978135510769,253.756044070829,326.74584544859,"Upper Columbia spring Chinook",238
"Entiat River - spring Chinook salmon",2013,111.655716708009,145.056099014712,165.552713224612,188.590876425269,244.344779671694,"Upper Columbia spring Chinook",149
"Entiat River - spring Chinook salmon",2014,137.520243939685,178.91933122091,202.100950779571,231.521105752077,304.863047847904,"Upper Columbia spring Chinook",174
"Entiat River - spring Chinook salmon",2015,156.840222356116,206.225110014039,241.902680859271,284.24630385846,378.232677193869,"Upper Columbia spring Chinook",333
"Entiat River - spring Chinook salmon",2016,135.473096102234,178.090762479165,206.021686202406,238.854210680301,311.318661582054,"Upper Columbia spring Chinook",288
"Entiat River - spring Chinook salmon",2017,54.9984248425917,70.6844184997801,81.5263672312014,94.9421276829918,126.878379347382,"Upper Columbia spring Chinook",64
"Entiat River - spring Chinook salmon",2018,38.858314167312,51.5460691004851,60.1646151198643,70.7180683659877,98.971344486808,"Upper Columbia spring Chinook",46
"Entiat River - spring Chinook salmon",2019,36.7413382486884,55.6505652065232,68.3216952627401,82.0641599604213,120.996171364744,"Upper Columbia spring Chinook",NA
"Entiat River - spring Chinook salmon",2020,65.4824419907174,86.9019524776722,99.9857684721806,114.22134327407,150.673628763082,"Upper Columbia spring Chinook",120
"Entiat River - spring Chinook salmon",2021,95.022048072601,123.941888707296,141.001913259527,161.591686851124,205.498431830733,"Upper Columbia spring Chinook",140
"Entiat River - spring Chinook salmon",2022,112.310697801366,147.716572289912,168.484300595799,191.869843148252,248.138811712089,"Upper Columbia spring Chinook",171
"Entiat River - spring Chinook salmon",2023,90.4533636522572,120.635864200847,139.602963769591,163.010166318179,215.563482287209,"Upper Columbia spring Chinook",122
"Entiat River - spring Chinook salmon",2024,18.9254042318719,72.6777546386448,152.253317159423,299.942408637172,1184.61131965344,"Upper Columbia spring Chinook",NA
"Methow River - spring Chinook salmon",1999,29.3931868254667,50.3328523479172,67.7775973346595,89.7487597446636,160.414068973078,"Upper Columbia spring Chinook",45
"Methow River - spring Chinook salmon",2000,95.2455885781683,148.777106319845,184.709912154624,230.666195115634,367.272208107317,"Upper Columbia spring Chinook",117
"Methow River - spring Chinook salmon",2001,232.515439882252,389.086972815161,512.15591593171,697.25736080375,1575.19356043651,"Upper Columbia spring Chinook",1832
"Methow River - spring Chinook salmon",2002,190.099330149276,290.176022653438,359.240255345238,439.505182784218,665.363864533605,"Upper Columbia spring Chinook",345
"Methow River - spring Chinook salmon",2003,68.0010005562758,164.39047020813,235.735670131767,307.165402630489,479.013055263781,"Upper Columbia spring Chinook",58
"Methow River - spring Chinook salmon",2004,195.777348599429,299.403616492117,371.291361792894,458.749113925339,686.526382428734,"Upper Columbia spring Chinook",488
"Methow River - spring Chinook salmon",2005,155.76810890499,233.678378818991,295.981586443615,374.641484573184,605.524762268377,"Upper Columbia spring Chinook",527
"Methow River - spring Chinook salmon",2006,139.494727636766,204.801167307565,255.926076740148,322.877455485267,484.571704422237,"Upper Columbia spring Chinook",328
"Methow River - spring Chinook salmon",2007,156.969849149247,231.341165878709,284.851994458838,351.033080808311,538.223412146974,"Upper Columbia spring Chinook",266
"Methow River - spring Chinook salmon",2008,169.564333576016,245.123991782321,299.874815865283,366.86743346796,584.122559510933,"Upper Columbia spring Chinook",298
"Methow River - spring Chinook salmon",2009,217.233135820784,322.449833694319,401.700260273537,498.51935918445,759.452917344518,"Upper Columbia spring Chinook",564
"Methow River - spring Chinook salmon",2010,263.370729122006,388.217309798859,483.48177150901,599.488311909063,921.832551372167,"Upper Columbia spring Chinook",601
"Methow River - spring Chinook salmon",2011,344.199315042064,520.380964506,650.048213842497,808.446373712144,1232.64054256413,"Upper Columbia spring Chinook",961
"Methow River - spring Chinook salmon",2012,227.642902864255,349.2181598866,432.706405549697,537.108047413806,794.293435018947,"Upper Columbia spring Chinook",261
"Methow River - spring Chinook salmon",2013,180.211710982793,268.202406998792,335.799576921244,414.197014753609,621.96872096379,"Upper Columbia spring Chinook",241
"Methow River - spring Chinook salmon",2014,237.621452721563,356.123964181364,441.146526902075,532.142757834217,822.727163257991,"Upper Columbia spring Chinook",508
"Methow River - spring Chinook salmon",2015,227.222941621063,347.754636125615,428.35671862958,527.841244014243,806.035989635359,"Upper Columbia spring Chinook",398
"Methow River - spring Chinook salmon",2016,200.213314657871,299.441698580538,369.604147888356,455.83893104576,681.474249936004,"Upper Columbia spring Chinook",320
"Methow River - spring Chinook salmon",2017,111.87702714334,166.09539709758,201.274024913371,247.007645308099,368.326057445293,"Upper Columbia spring Chinook",176
"Methow River - spring Chinook salmon",2018,92.6788331330325,143.86795805808,178.37418836493,220.102859864749,341.437065128444,"Upper Columbia spring Chinook",265
"Methow River - spring Chinook salmon",2019,81.4035559959723,126.813909775123,161.243280928265,204.11469830213,365.09645885393,"Upper Columbia spring Chinook",114
"Methow River - spring Chinook salmon",2020,116.715551987356,178.50350833197,222.955907409493,276.988083565332,418.524048628501,"Upper Columbia spring Chinook",165
"Methow River - spring Chinook salmon",2021,197.304438583726,297.203900235421,363.690006416907,447.375483991709,680.781200669996,"Upper Columbia spring Chinook",455
"Methow River - spring Chinook salmon",2022,238.966498211072,376.125391949184,469.46035255358,597.754164453114,950.146667785955,"Upper Columbia spring Chinook",772
"Methow River - spring Chinook salmon",2023,184.519147554715,287.338855552057,366.8779879217,471.304978585264,776.859991202852,"Upper Columbia spring Chinook",268
"Methow River - spring Chinook salmon",2024,47.644183803752,191.794620152904,389.89329141104,807.020247908342,3471.16674404794,"Upper Columbia spring Chinook",NA
"Wenatchee River - spring Chinook salmon",1999,101.758386686654,132.0218163632,150.451686029724,177.313576556546,242.018895239263,"Upper Columbia spring Chinook",121
"Wenatchee River - spring Chinook salmon",2000,299.219629350472,397.737190275641,458.81215881486,524.853335254457,651.551117783657,"Upper Columbia spring Chinook",578
"Wenatchee River - spring Chinook salmon",2001,681.732975636917,935.872854898545,1084.95756148654,1219.11452798705,1596.77372789665,"Upper Columbia spring Chinook",1153
"Wenatchee River - spring Chinook salmon",2002,562.107687749443,740.838184594019,841.911218689639,959.286686431284,1197.33197163434,"Upper Columbia spring Chinook",940
"Wenatchee River - spring Chinook salmon",2003,388.308364822606,512.33066365075,580.235005420227,671.254431240879,903.553938485363,"Upper Columbia spring Chinook",505
"Wenatchee River - spring Chinook salmon",2004,459.978857895856,615.957296469215,711.467018104244,821.51182182201,1043.79231386648,"Upper Columbia spring Chinook",1028
"Wenatchee River - spring Chinook salmon",2005,280.950083602082,349.452202874182,403.532023405083,465.350420409624,616.655997082607,"Upper Columbia spring Chinook",296
"Wenatchee River - spring Chinook salmon",2006,240.332485840258,297.192318519911,336.741486840283,382.903129533965,498.751398155907,"Upper Columbia spring Chinook",306
"Wenatchee River - spring Chinook salmon",2007,280.284585851224,360.833269701593,409.031078170405,460.887172826583,578.19309483786,"Upper Columbia spring Chinook",445
"Wenatchee River - spring Chinook salmon",2008,290.762904632993,368.871710147758,413.24627335936,467.291990997489,606.725714210115,"Upper Columbia spring Chinook",365
"Wenatchee River - spring Chinook salmon",2009,370.86469635887,488.372512931904,555.143143815472,617.402100099444,786.339614955468,"Upper Columbia spring Chinook",616
"Wenatchee River - spring Chinook salmon",2010,487.351973891709,612.884207441162,706.02832919521,812.600975544,1070.5873698773,"Upper Columbia spring Chinook",536
"Wenatchee River - spring Chinook salmon",2011,730.073597706991,974.968021715763,1113.91136934823,1244.32334026846,1569.5247611952,"Upper Columbia spring Chinook",1272
"Wenatchee River - spring Chinook salmon",2012,602.700906930172,788.19339559589,891.254758778763,997.289161272995,1271.40345267892,"Upper Columbia spring Chinook",956
"Wenatchee River - spring Chinook salmon",2013,455.323674388089,586.318631900839,665.942550737407,743.766787773789,948.190473566258,"Upper Columbia spring Chinook",637
"Wenatchee River - spring Chinook salmon",2014,556.56419945448,740.020780215116,842.271471206271,940.767383790495,1179.12933864752,"Upper Columbia spring Chinook",961
"Wenatchee River - spring Chinook salmon",2015,581.202954148663,741.226280187906,833.155798002985,954.378707937157,1249.57974389885,"Upper Columbia spring Chinook",744
"Wenatchee River - spring Chinook salmon",2016,499.591517646239,645.409518229538,723.406113212345,822.615727319423,1061.21627282731,"Upper Columbia spring Chinook",732
"Wenatchee River - spring Chinook salmon",2017,232.908990599274,297.928179275833,334.656409316354,375.775042835459,479.698488117486,"Upper Columbia spring Chinook",338
"Wenatchee River - spring Chinook salmon",2018,177.981405145639,227.324920134428,257.75166652786,292.052806327437,380.801836764965,"Upper Columbia spring Chinook",258
