"ESU_DPS","Lowest Growth Rate (% change per year)","25th Percentile Growth Rate (% change per year)","Median Growth Rate (% change per year)","75th Percentile Growth Rate (% change per year)","Highest Growth Rate (% change per year)","Proportion of Populations with 5-yr Geomean above Goal","Lowest 5-yr Geomean Abundance as Proportion of Goal","25th Percentile 5-yr Geomean Abundance as Proportion of Goal","Median 5-yr Geomean Abundance as Proportion of Goal","75th Percentile 5-yr Geomean Abundance as Proportion of Goal","Highest 5-yr Geomean Abundance as Proportion of Goal","pops_with_usable_data","FutureStatus (see methods)","OverallRecoveryCategory","total_missing_pops","proportion_missing_pops"
"Lower Columbia River Chinook ESU",-14.6498025586764,-0.927032630714492,1.09011583876885,4.24654653548501,6.81538477761897,0.375,0.00897317719673072,0.115326671781485,0.379347763473787,1.52958778722562,4.77179600356742,16,40.0480153694783,2,3,0.157894736842105
"Puget Sound Chinook ESU",-1.31250864128988,0.557553413468131,1.2565305632055,2.37928841431649,10.620817220973,0,0.00507882276274327,0.0285665566530512,0.0492267519046411,0.114425707348798,0.67890798830772,18,5.2398203174014,1,3,0.142857142857143
"Snake River Fall Chinook ESU",6.46690202344145,6.46690202344145,6.46690202344145,6.46690202344145,6.46690202344145,1,1.64972175238484,1.64972175238484,1.64972175238484,1.64972175238484,1.64972175238484,1,225.675174280358,4,0,0
"Snake River Spring/Summer Chinook ESU",-4.66742791678517,-3.90252895757465,-3.10575920839702,-2.30898945921939,-1.54409050000887,0,0.00222412230527862,0.0116389527965447,0.0214460678916135,0.0312531829866823,0.0406680134779484,2,1.83162894250214,1,0,0
"Upper Columbia River Spring Chinook ESU",4.44919541402558,4.96399096413627,5.5002363288349,5.75564139378819,6.00083025614335,0,0.155574783761416,0.213364347011967,0.273561808731291,0.283193987316906,0.292440878759096,3,35.75383478451,2,0,0
"Columbia River Chum ESU",5.57426825105296,6.67140465718866,8.0632093004827,9.410505508631,9.61169630385467,0.375,0.00584283057366063,0.073018215296631,0.433062020655087,4.06059426910139,6.84059196654854,8,63.8174437304191,3,2,0.2
"Hood Canal Summer Chum ESU",9.80834461623381,10.873329282167,11.9826883091808,13.0920473361946,14.1570320021279,1,1.17779613632834,1.20789896581737,1.23925607986844,1.2706131939195,1.30071602340853,2,218.230528324739,4,0,0
"Lower Columbia River Coho ESU",0.381845136354374,2.19066136057366,2.88897425763934,3.49310834044896,4.55373306977162,0.692307692307692,0.403893555662606,0.682150655726569,1.35467286337865,1.99827267921899,8.2244642377449,13,156.199133048919,4,1,0.0714285714285714
"Ozette Lake Sockeye ESU",0.414763150774355,0.414763150774355,0.414763150774355,0.414763150774355,0.414763150774355,0,0.0280680425804757,0.0280680425804757,0.0280680425804757,0.0280680425804757,0.0280680425804757,1,2.86549706401843,1,0,0
"Lower Columbia River Steelhead DPS",1.93182564853569,2.42976103225957,3.33459427655829,3.91637633439754,8.88771548298884,0.0714285714285714,0.311296525954033,0.667965933331941,0.788789399157539,0.938426743103639,1.17866920275554,14,92.9372373502919,3,1,0.0666666666666667
"Middle Columbia River Steelhead DPS",-2.10261911131124,-1.18370877034785,-0.90472816148488,-0.0581237659309453,0.840271868245873,0,0.0513962129294306,0.183454092782767,0.210593221959914,0.387997097365176,0.876804789442179,7,20.123756603932,1,2,0.222222222222222
"Puget Sound Steelhead DPS",-7.09176580763851,-3.26652704503841,-1.91163756703663,-1.36899003524991,2.22131510718389,0,0.00929214486157259,0.0337320692899416,0.0528421259385258,0.0889067228465811,0.465920241949488,12,4.79808240397973,1,18,0.6
"Snake River Basin Steelhead DPS",-10.6815835899188,-9.53152456293285,-8.33354640982254,-7.13556825671222,-5.98550922972631,0,0.455050164245062,0.53694879960706,0.622259878109141,0.707570956611221,0.789469591973219,2,40.2739241310917,2,1,0.333333333333333
"Upper Columbia River Steelhead DPS",2.85519915243123,4.86725654893325,5.64559546111966,6.23686506197706,7.71016284185156,0,0.287954371909274,0.429418302713173,0.501802982595659,0.527370884441895,0.534002494501396,4,66.0374378391767,3,0,0
