"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2012,41,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2013,62,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2014,227,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2015,720,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2016,1796,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2017,309,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2018,327,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2019,618,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2020,903,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2021,889,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2022,1036,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2023,418,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Elochoman River - fall Chum salmon","Chum salmon","Fall","Skamokawa\Elochoman River",2024,382,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2001,4246,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2002,10493,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2003,15559,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2004,13151,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2005,3795,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2006,6162,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2007,3817,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2008,2401,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2009,2776,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2010,6082,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2011,10052,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2012,7782,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2013,4832,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2014,4267,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2015,10857,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2016,30408,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2017,6217,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2018,6320,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2019,7002,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2020,12726,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2021,16760,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia chum","Coastal","Grays and Chinook Rivers - fall Chum salmon","Chum salmon","Fall","Grays River",2022,12243,1,-99,-99,-99,-99,-99,-99,-99,-99
