"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2010,3919,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2011,3927,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2012,3698,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2013,4144,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2014,7469,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2015,1283,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2016,3346,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2017,2687,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2018,2923,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2019,3416,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2020,4708,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2021,4767,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2022,4101,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2023,2850,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Coweeman River - late Coho salmon","Coho salmon","Late","Coweeman River",2024,2350,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","East Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","East Fork Lewis River",2010,1462,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","East Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","East Fork Lewis River",2011,1386,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","East Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","East Fork Lewis River",2012,3226,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","East Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","East Fork Lewis River",2013,2800,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","East Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","East Fork Lewis River",2014,4884,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","East Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","East Fork Lewis River",2015,565,1,-99,-99,-99,-99,-99,-99,-99,-99
