"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Coweeman River - late Coho salmon",2005,956.309276890332,1694.71295115327,2360.04259705075,3462.24120738057,8073.36073094215,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2006,885.761236740937,1757.14773266769,2553.42924629027,3715.05844917699,8007.3055057161,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2007,959.385515042859,2016.05626416897,2867.33797353022,4141.38013454204,8391.49786249079,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2008,1191.88938929497,2324.47549964323,3244.50279222311,4443.42756069188,8476.66024422361,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2009,1660.31213785053,2874.94081106262,3733.19015848586,4809.00334926388,8041.8618946811,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2010,3399.84494618593,3787.63900946138,3949.44515239497,4121.9532846784,4620.70520187407,"Lower Columbia coho",3919
"Coweeman River - late Coho salmon",2011,3231.93433815994,3660.0599648959,3841.22204108145,4001.11653385053,4392.86993802944,"Lower Columbia coho",3927
"Coweeman River - late Coho salmon",2012,3175.08008792797,3542.67596937717,3697.08183289399,3853.32523626254,4295.7516763772,"Lower Columbia coho",3698
"Coweeman River - late Coho salmon",2013,3532.20270159925,3964.05330973865,4139.42771484001,4319.18690709236,4839.53412260256,"Lower Columbia coho",4144
"Coweeman River - late Coho salmon",2014,6236.31821738048,7080.97504408061,7401.12177983788,7717.87788236655,8634.77574976873,"Lower Columbia coho",7469
"Coweeman River - late Coho salmon",2015,1171.25313643291,1278.89679446237,1331.38053783592,1403.62602530915,1633.68950986976,"Lower Columbia coho",1283
"Coweeman River - late Coho salmon",2016,2742.09762884679,3106.18168395417,3256.12698087987,3384.9226031469,3720.21668636844,"Lower Columbia coho",3346
"Coweeman River - late Coho salmon",2017,2377.6504954622,2623.01362888146,2731.96538024032,2848.83677056563,3204.24673988465,"Lower Columbia coho",2687
"Coweeman River - late Coho salmon",2018,2463.53983345514,2759.13551882798,2887.27081848878,3004.76584538857,3315.48784975671,"Lower Columbia coho",2923
"Coweeman River - late Coho salmon",2019,2991.42744020936,3306.66064782335,3442.85391705547,3588.71133259111,4022.3212246686,"Lower Columbia coho",3416
"Coweeman River - late Coho salmon",2020,4002.15114852906,4493.25546782832,4688.83286768343,4880.98908452422,5403.24063224053,"Lower Columbia coho",4708
"Coweeman River - late Coho salmon",2021,4107.0644100332,4575.00459780692,4772.88113804223,4961.56539873997,5520.6569648844,"Lower Columbia coho",4767
"Coweeman River - late Coho salmon",2022,3481.50019753422,3915.24752098434,4081.33569138348,4249.58557653355,4733.86196883558,"Lower Columbia coho",4101
"Coweeman River - late Coho salmon",2023,2380.54965553696,2698.70068779313,2817.07243575023,2935.55601189284,3246.10005163611,"Lower Columbia coho",2850
"Coweeman River - late Coho salmon",2024,2102.36063239771,2317.49978002359,2408.74982047417,2532.66553505697,2926.14825471156,"Lower Columbia coho",2350
"Coweeman River - late Coho salmon",2025,1017.67623886352,1840.9976786153,2483.56281077756,3297.85240981123,5860.4036396498,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2026,700.362819618724,1621.07840173201,2439.84992510573,3614.61646765928,8486.07000993244,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2005,524.335199499153,1459.36803052326,2126.51470891386,3004.96366198788,5703.69112776982,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2006,409.351523423428,1156.02430462565,1859.12116173348,2944.63474201559,7530.29337181823,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2007,379.872089616975,1072.31487575637,1737.86678711068,2851.05827859839,7761.37013374865,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2008,443.040947675867,1053.61365318975,1674.6803122064,2645.37409687538,6739.55601181224,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2009,546.462107153239,1147.32304317774,1629.41489708512,2348.28207858392,5068.26817457965,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2010,1200.48670019253,1390.2960535784,1482.43638722823,1585.2934875677,1933.88680301055,"Lower Columbia coho",1462
"East Fork Lewis River - early and late Coho salmon",2011,1170.09325590005,1352.81394972579,1435.11910485136,1543.38487099336,1884.00082477411,"Lower Columbia coho",1386
"East Fork Lewis River - early and late Coho salmon",2012,2120.98612615293,2768.35920338302,3006.92060584356,3206.27551920861,3654.54123045708,"Lower Columbia coho",3226
"East Fork Lewis River - early and late Coho salmon",2013,2201.85609808783,2641.75871569967,2814.22291910006,2998.6605908734,3576.25273112169,"Lower Columbia coho",2800
"East Fork Lewis River - early and late Coho salmon",2014,3704.01071626268,4524.09042190223,4833.9914057403,5142.78858869674,6083.5604657346,"Lower Columbia coho",4884
"East Fork Lewis River - early and late Coho salmon",2015,475.447089119205,551.239530549384,586.481746258641,632.794737607483,803.467292867743,"Lower Columbia coho",565
"East Fork Lewis River - early and late Coho salmon",2016,1027.47733222511,1189.92170654828,1263.62208896316,1350.60337739994,1638.30668682006,"Lower Columbia coho",1238
"East Fork Lewis River - early and late Coho salmon",2017,1194.46700612549,1429.9603992648,1528.37319659903,1622.78356461541,1881.90350244493,"Lower Columbia coho",1559
"East Fork Lewis River - early and late Coho salmon",2018,1277.98466913255,1526.25415891536,1628.61923581136,1727.51036013647,2019.39236065363,"Lower Columbia coho",1648
"East Fork Lewis River - early and late Coho salmon",2019,1814.86380413089,2155.2400817248,2293.9959442624,2443.45113808471,2886.45130791493,"Lower Columbia coho",2304
"East Fork Lewis River - early and late Coho salmon",2020,1961.6352299993,2261.64998090759,2405.27045999124,2583.31156710017,3148.07713398329,"Lower Columbia coho",2319
"East Fork Lewis River - early and late Coho salmon",2021,3267.40084024867,4053.72306978958,4339.71951602703,4602.63342668539,5285.9781558964,"Lower Columbia coho",4507
"East Fork Lewis River - early and late Coho salmon",2022,2544.31429553153,3024.50260726373,3234.10288115786,3444.02845347847,4048.9266874085,"Lower Columbia coho",3242
"East Fork Lewis River - early and late Coho salmon",2023,1574.36281359988,1802.26029186817,1908.53034650441,2054.17407218345,2565.63714471471,"Lower Columbia coho",1843
"East Fork Lewis River - early and late Coho salmon",2024,2975.13091096387,3744.1413658397,4028.03063463921,4282.27807494771,4945.15832775368,"Lower Columbia coho",4153
"East Fork Lewis River - early and late Coho salmon",2025,1149.36125116737,2740.98437371883,4122.65553771338,6167.16724087683,14541.956498206,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2026,683.43589525079,2412.12780911433,4330.8345929353,7773.82816886195,25109.3966117873,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2005,375.240250584554,823.521934098249,1141.86040170291,1565.98170982106,2897.0818377756,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2006,324.26202612856,733.109873288128,1083.52656449229,1608.09731280629,3408.45026745471,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2007,313.512810464398,695.331718896965,1044.78927576879,1562.98073738596,3501.12402820137,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2008,324.218799700441,696.275448228244,1018.43894513316,1484.42037585144,3237.00831233637,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2009,404.007432864708,742.732376566383,1016.49570238599,1369.17144772713,2495.22840369855,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2010,814.785680442528,922.525308839072,967.748811075976,1017.20610890287,1162.91643682539,"Lower Columbia coho",964
"Elochoman River - late Coho salmon",2011,543.929948263065,623.614553362256,655.878291882759,687.370648800696,775.926812740265,"Lower Columbia coho",667
"Elochoman River - late Coho salmon",2012,520.516908496972,581.304449420377,609.055195039513,643.273944441783,742.20280104816,"Lower Columbia coho",593
"Elochoman River - late Coho salmon",2013,744.129001463541,848.393177187002,893.257839626241,937.775588215065,1069.78004297143,"Lower Columbia coho",898
"Elochoman River - late Coho salmon",2014,2880.21612095601,3375.25729712128,3576.74342519652,3748.36806296807,4191.73053580879,"Lower Columbia coho",3673
"Elochoman River - late Coho salmon",2015,357.569864957546,400.627911901734,419.919538747237,443.430067093858,516.330877123859,"Lower Columbia coho",412
"Elochoman River - late Coho salmon",2016,794.47132472667,887.903765841319,931.043280492404,982.513418282038,1124.21868499316,"Lower Columbia coho",907
"Elochoman River - late Coho salmon",2017,819.952261091161,942.538223535291,992.844841995197,1037.60783314214,1167.19727622389,"Lower Columbia coho",1006
"Elochoman River - late Coho salmon",2018,984.231708297309,1128.4697426847,1186.1559566517,1244.77231589695,1392.10577536158,"Lower Columbia coho",1189
"Elochoman River - late Coho salmon",2019,1488.05019192956,1718.41734016832,1814.06705003265,1899.40773599489,2131.58160485153,"Lower Columbia coho",1853
"Elochoman River - late Coho salmon",2020,1668.23155980335,1895.79671047403,1987.79162518557,2086.26740204951,2352.72246838156,"Lower Columbia coho",1982
"Elochoman River - late Coho salmon",2021,1438.54718691506,1639.27249676386,1720.5425879358,1802.62273879791,2026.61975381319,"Lower Columbia coho",1747
"Elochoman River - late Coho salmon",2022,964.164241430753,1066.65097662981,1120.91856134548,1189.02548352072,1404.26266819124,"Lower Columbia coho",1065
"Elochoman River - late Coho salmon",2023,1247.02943637076,1441.69090176963,1519.74323399354,1590.12920407795,1786.14466645118,"Lower Columbia coho",1559
"Elochoman River - late Coho salmon",2024,1639.77569931515,1878.49526713305,1975.8645464203,2075.333585137,2351.50982349876,"Lower Columbia coho",1975
"Elochoman River - late Coho salmon",2025,744.339534361235,1468.02819311315,2030.91074973664,2854.33000652634,5651.08907427266,"Lower Columbia coho",NA
"Elochoman River - late Coho salmon",2026,494.005337148685,1297.67769528266,2084.14112318051,3363.41958692634,8552.966660067,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2005,220.278711216009,441.312174737055,610.644929014616,827.064792040334,1420.6616875717,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2006,198.306474221748,395.407605985176,555.126910362834,776.796456725862,1435.57786310952,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2007,198.057719069308,379.211107806667,539.352908413472,757.770546191972,1445.9505630335,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2008,216.528677797701,386.773639689654,526.559551402687,719.001148262955,1300.67845434227,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2009,267.926821815326,420.699645848049,533.465235289385,669.313256275407,1058.61207993383,"Lower Columbia coho",NA
"Grays and Chinook Rivers - late Coho salmon",2010,436.97153579129,480.423092951828,497.02776814892,515.490591667732,568.805341888423,"Lower Columbia coho",495
"Grays and Chinook Rivers - late Coho salmon",2011,303.285047703468,330.757224853342,342.089970452006,354.938336489315,393.692103534979,"Lower Columbia coho",339
"Grays and Chinook Rivers - late Coho salmon",2012,415.172654729441,454.79487819208,471.420912286452,488.321189815932,535.905622348565,"Lower Columbia coho",471
