"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Dungeness River - summer and winter Steelhead",2007,268.522689956235,470.383510660094,613.211860575292,793.439276284957,1296.56693502066,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2008,264.749604836277,446.136754542601,576.560393862609,737.836831275097,1242.99336833942,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2009,243.774161827347,402.813988726945,514.330246502131,650.267279931247,1050.922779244,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2010,283.326559108655,418.1615856608,505.173406042644,601.137109511473,870.27054007252,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2011,351.540873625018,436.566956745549,487.099315203235,544.504923495013,690.375883844714,"Puget Sound steelhead",455
"Dungeness River - summer and winter Steelhead",2012,360.339091481547,482.604654858517,548.426442577755,624.265064466514,832.992210100961,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2013,435.463298178761,530.612013058002,583.621754084008,639.651628929406,773.523284890619,"Puget Sound steelhead",619
"Dungeness River - summer and winter Steelhead",2014,428.169848099523,518.855220165275,568.42400575476,620.650378123393,748.687953358125,"Puget Sound steelhead",585
"Dungeness River - summer and winter Steelhead",2015,399.206633630068,493.372649106061,546.736775461407,601.014752911328,730.48719280401,"Puget Sound steelhead",618
"Dungeness River - summer and winter Steelhead",2016,289.591991810186,398.357873136884,460.935480195306,531.886839326267,726.544210381816,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2017,272.722700964811,337.140863826859,374.478285261261,417.765045182683,524.206313532153,"Puget Sound steelhead",311
"Dungeness River - summer and winter Steelhead",2018,259.006279212941,352.981358708606,407.452152344042,465.36450078884,634.308781470359,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2019,309.988332070249,389.239455579105,432.695468236734,478.344417850168,583.784679071003,"Puget Sound steelhead",467
