"ESU_DPS","COMMONPOPNAME2","final_abundance_data_type.2024","minyr.2024","maxyr.2024","final_abundance_data_type.2022","minyr.2022","maxyr.2022","Updates"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon","NOSAEJ",2009,2023,"NOSAEJ",2010,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Grays and Chinook Rivers - fall Chinook salmon","NOSAEJ",2008,2023,"NOSAEJ",2008,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon","NOSAEJ",2007,2023,"NOSAEJ",2007,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon","NOSAIJ",2013,2023,"NOSAIJ",2019,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Lower Cowlitz River - fall Chinook salmon","NOSAIJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","North Fork Lewis River - spring Chinook salmon","NOSAEJ",2013,2022,"NOSAEJ",2013,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Toutle River - fall Chinook salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, Chinook (Lower Columbia River ESU)","Upper Cowlitz River - fall Chinook salmon","NOSAEJ",2010,2022,"NOSAEJ",2010,2021,""
